Team,D/N,Attendance,Date
CHC,D,40077,2009-04-13
CHC,D,39361,2009-04-15
CHC,D,38909,2009-04-16
CHC,D,40250,2009-04-17
CHC,D,40878,2009-04-18
CHC,D,40039,2009-04-23
CHC,D,38336,2009-05-01
CHC,D,40083,2009-05-02
CHC,D,40457,2009-05-03
CHC,D,39497,2009-05-05
CHC,D,39728,2009-05-14
CHC,D,40549,2009-05-16
CHC,D,40478,2009-05-17
CHC,D,38314,2009-05-27
CHC,D,40148,2009-05-29
CHC,D,41153,2009-05-30
CHC,D,41509,2009-06-12
CHC,D,40899,2009-06-13
CHC,D,40814,2009-06-14
CHC,D,40444,2009-06-17
CHC,D,40467,2009-06-18
CHC,D,40155,2009-06-19
CHC,D,41007,2009-06-20
CHC,D,40866,2009-06-21
CHC,D,41204,2009-07-03
CHC,D,40088,2009-07-04
CHC,D,40369,2009-07-05
CHC,D,40531,2009-07-08
CHC,D,40687,2009-07-10
CHC,D,41210,2009-07-11
CHC,D,40701,2009-07-12
CHC,D,41406,2009-07-24
CHC,D,41364,2009-07-25
CHC,D,41528,2009-07-26
CHC,D,41538,2009-07-29
CHC,D,41524,2009-07-30
CHC,D,41100,2009-08-13
CHC,D,41619,2009-08-14
CHC,D,41197,2009-08-15
CHC,D,35174,2009-08-27
CHC,D,39381,2009-08-28
CHC,D,40857,2009-08-29
CHC,D,39907,2009-08-30
CHC,D,39192,2009-09-02
CHC,D,40741,2009-09-03
CHC,D,39881,2009-09-11
CHC,D,40351,2009-09-12
CHC,D,39805,2009-09-13
CHC,D,39158,2009-09-17
CHC,D,34362,2009-09-30
CHC,D,33786,2009-10-02
CHC,D,39138,2009-10-03
CHC,D,39154,2009-10-04
CHC,D,41306,2010-04-12
CHC,D,39565,2010-04-14
CHC,D,38026,2010-04-15
CHC,D,37291,2010-04-16
CHC,D,40471,2010-04-17
CHC,D,39506,2010-04-18
CHC,D,36660,2010-04-28
CHC,D,36850,2010-04-29
CHC,D,37800,2010-04-30
CHC,D,40368,2010-05-01
CHC,D,38144,2010-05-02
CHC,D,38637,2010-05-12
CHC,D,39082,2010-05-14
CHC,D,41336,2010-05-15
CHC,D,40636,2010-05-16
CHC,D,33868,2010-05-27
CHC,D,39536,2010-05-28
CHC,D,40601,2010-05-29
CHC,D,41353,2010-05-30
CHC,D,41129,2010-06-11
CHC,D,40397,2010-06-12
