Team,D/N,Attendance,Date
BOS,N,37552,2009-04-08
BOS,N,38266,2009-04-17
BOS,N,37559,2009-04-18
BOS,N,37494,2009-04-22
BOS,N,38163,2009-04-24
BOS,N,38154,2009-04-26
BOS,N,37888,2009-05-06
BOS,N,37541,2009-05-07
BOS,N,37745,2009-05-08
BOS,N,37759,2009-05-10
BOS,N,37830,2009-05-19
BOS,N,38099,2009-05-20
BOS,N,38347,2009-05-21
BOS,N,38092,2009-05-22
BOS,N,37871,2009-05-23
BOS,N,37519,2009-06-05
BOS,N,37828,2009-06-06
BOS,N,37883,2009-06-09
BOS,N,38121,2009-06-10
BOS,N,38153,2009-06-11
BOS,N,38149,2009-06-16
BOS,N,38196,2009-06-17
BOS,N,37577,2009-06-18
BOS,N,37703,2009-06-19
BOS,N,38029,2009-06-20
BOS,N,38078,2009-07-03
BOS,N,38294,2009-07-06
BOS,N,37676,2009-07-07
BOS,N,37981,2009-07-08
BOS,N,38189,2009-07-09
BOS,N,38116,2009-07-10
BOS,N,37825,2009-07-11
BOS,N,38058,2009-07-24
BOS,N,38063,2009-07-25
BOS,N,37955,2009-07-27
BOS,N,38084,2009-07-28
BOS,N,38193,2009-07-29
BOS,N,37960,2009-08-10
BOS,N,38013,2009-08-11
BOS,N,38124,2009-08-12
BOS,N,37869,2009-08-21
BOS,N,38008,2009-08-23
BOS,N,37812,2009-08-24
BOS,N,38059,2009-08-25
BOS,N,37839,2009-08-26
BOS,N,38003,2009-08-27
BOS,N,37844,2009-08-28
BOS,N,37452,2009-08-29
BOS,N,37647,2009-09-08
BOS,N,37712,2009-09-09
BOS,N,37755,2009-09-12
BOS,N,37271,2009-09-13
BOS,N,37942,2009-09-15
BOS,N,37706,2009-09-16
BOS,N,38157,2009-09-17
BOS,N,37591,2009-09-28
BOS,N,37618,2009-09-29
BOS,N,37246,2009-09-30
BOS,N,37459,2009-10-01
BOS,N,37787,2009-10-02
BOS,N,37562,2009-10-03
BOS,N,37440,2010-04-04
BOS,N,38000,2010-04-06
BOS,N,38238,2010-04-07
BOS,N,37084,2010-04-16
BOS,N,37022,2010-04-17
BOS,N,37614,2010-04-20
BOS,N,37518,2010-04-21
BOS,N,37417,2010-04-22
BOS,N,37367,2010-04-23
BOS,N,38017,2010-04-24
BOS,N,37404,2010-05-03
BOS,N,37411,2010-05-04
BOS,N,37601,2010-05-05
BOS,N,37639,2010-05-06
BOS,N,37898,2010-05-07
BOS,N,37618,2010-05-09
BOS,N,37332,2010-05-10
BOS,N,37609,2010-05-11
BOS,N,37426,2010-05-19
BOS,N,38144,2010-05-20
BOS,N,37940,2010-05-27
BOS,N,37945,2010-05-28
BOS,N,37956,2010-05-29
BOS,N,37337,2010-06-01
BOS,N,37783,2010-06-02
BOS,N,38021,2010-06-11
BOS,N,37459,2010-06-15
BOS,N,37452,2010-06-16
BOS,N,37544,2010-06-17
BOS,N,37723,2010-06-18
BOS,N,37430,2010-06-20
BOS,N,38013,2010-06-29
BOS,N,38055,2010-06-30
BOS,N,38067,2010-07-02
BOS,N,38106,2010-07-03
BOS,N,38062,2010-07-15
BOS,N,37669,2010-07-16
BOS,N,37744,2010-07-17
BOS,N,37832,2010-07-30
BOS,N,37931,2010-08-02
BOS,N,37714,2010-08-03
BOS,N,37902,2010-08-04
BOS,N,38102,2010-08-05
BOS,N,38304,2010-08-17
BOS,N,37779,2010-08-18
BOS,N,37641,2010-08-19
BOS,N,37726,2010-08-20
BOS,N,37614,2010-08-21
BOS,N,37133,2010-08-23
BOS,N,37451,2010-08-25
BOS,N,37858,2010-09-04
BOS,N,37546,2010-09-06
BOS,N,37290,2010-09-07
BOS,N,37757,2010-09-08
BOS,N,37679,2010-09-17
BOS,N,37863,2010-09-18
BOS,N,37560,2010-09-20
BOS,N,37464,2010-09-21
BOS,N,37729,2010-09-22
BOS,N,37589,2010-10-02
BOS,N,37861,2011-04-10
BOS,N,37568,2011-04-11
BOS,N,37015,2011-04-12
BOS,N,37467,2011-04-15
BOS,N,37845,2011-04-29
BOS,N,37901,2011-04-30
BOS,N,37017,2011-05-02
BOS,N,37043,2011-05-03
BOS,N,37037,2011-05-04
BOS,N,37798,2011-05-06
BOS,N,37276,2011-05-09
BOS,N,37138,2011-05-16
BOS,N,37311,2011-05-18
BOS,N,37660,2011-05-19
BOS,N,37140,2011-05-20
BOS,N,37798,2011-05-21
BOS,N,37688,2011-05-22
BOS,N,37463,2011-05-30
BOS,N,37269,2011-05-31
BOS,N,37808,2011-06-03
BOS,N,37833,2011-06-17
BOS,N,38175,2011-06-18
BOS,N,38020,2011-06-20
BOS,N,38422,2011-06-21
BOS,N,37745,2011-07-05
BOS,N,37404,2011-07-06
BOS,N,37981,2011-07-07
BOS,N,37729,2011-07-08
BOS,N,38205,2011-07-09
BOS,N,38048,2011-07-22
BOS,N,38115,2011-07-23
BOS,N,37727,2011-07-25
BOS,N,37460,2011-07-26
BOS,N,38329,2011-07-27
BOS,N,37943,2011-08-01
BOS,N,38101,2011-08-02
BOS,N,38172,2011-08-03
BOS,N,38477,2011-08-04
BOS,N,38006,2011-08-05
BOS,N,38189,2011-08-07
BOS,N,38278,2011-08-16
BOS,N,38239,2011-08-26
BOS,N,37039,2011-08-27
BOS,N,37773,2011-08-30
BOS,N,38021,2011-08-31
BOS,N,38074,2011-09-01
BOS,N,38083,2011-09-02
BOS,N,38020,2011-09-13
BOS,N,38071,2011-09-15
BOS,N,38019,2011-09-16
BOS,N,37261,2011-09-19
BOS,N,37414,2011-09-20
BOS,N,38004,2011-09-21
BOS,N,38229,2012-04-17
BOS,N,37967,2012-04-18
BOS,N,37359,2012-04-30
BOS,N,37225,2012-05-01
BOS,N,37434,2012-05-02
BOS,N,37223,2012-05-04
BOS,N,37348,2012-05-10
BOS,N,37438,2012-05-11
BOS,N,38048,2012-05-12
BOS,N,37334,2012-05-14
BOS,N,37594,2012-05-25
BOS,N,38099,2012-05-26
BOS,N,37216,2012-05-29
BOS,N,37195,2012-05-30
BOS,N,37629,2012-05-31
BOS,N,37181,2012-06-05
BOS,N,37243,2012-06-06
BOS,N,37307,2012-06-07
BOS,N,37309,2012-06-08
BOS,N,37701,2012-06-19
BOS,N,37362,2012-06-20
BOS,N,37261,2012-06-21
BOS,N,37281,2012-06-22
BOS,N,37782,2012-06-23
BOS,N,37208,2012-06-25
BOS,N,37755,2012-06-26
BOS,N,38066,2012-07-06
BOS,N,37791,2012-07-07
BOS,N,38270,2012-07-08
BOS,N,38334,2012-07-16
BOS,N,37771,2012-07-17
BOS,N,37367,2012-07-18
BOS,N,38413,2012-07-19
BOS,N,38093,2012-07-20
BOS,N,38170,2012-07-21
BOS,N,37784,2012-07-30
BOS,N,37275,2012-07-31
BOS,N,37213,2012-08-01
BOS,N,37191,2012-08-02
BOS,N,37285,2012-08-03
BOS,N,37914,2012-08-04
BOS,N,37316,2012-08-06
BOS,N,38416,2012-08-07
BOS,N,37794,2012-08-21
BOS,N,37373,2012-08-22
BOS,N,37829,2012-08-23
BOS,N,37228,2012-08-24
BOS,N,37103,2012-08-25
BOS,N,37156,2012-09-07
BOS,N,37107,2012-09-08
BOS,N,37437,2012-09-11
BOS,N,37230,2012-09-12
BOS,N,38134,2012-09-13
BOS,N,37731,2012-09-21
BOS,N,37045,2012-09-25
BOS,N,37247,2012-09-26
BOS,N,30862,2013-04-10
BOS,N,27704,2013-04-11
BOS,N,33270,2013-04-21
BOS,N,28926,2013-04-22
BOS,N,29006,2013-04-23
BOS,N,30093,2013-04-25
BOS,N,29312,2013-04-26
BOS,N,34726,2013-04-27
BOS,N,31088,2013-05-06
BOS,N,30549,2013-05-07
BOS,N,29969,2013-05-08
BOS,N,31571,2013-05-09
BOS,N,33606,2013-05-10
BOS,N,35254,2013-05-23
BOS,N,34074,2013-05-24
BOS,N,33627,2013-05-27
BOS,N,33463,2013-05-28
BOS,N,32035,2013-06-04
BOS,N,33296,2013-06-05
BOS,N,35352,2013-06-06
BOS,N,36518,2013-06-08
BOS,N,32156,2013-06-18
BOS,N,35710,2013-06-19
BOS,N,36286,2013-06-25
BOS,N,34750,2013-06-27
BOS,N,36383,2013-06-28
BOS,N,36498,2013-07-02
BOS,N,36911,2013-07-03
BOS,N,38130,2013-07-19
BOS,N,38138,2013-07-21
BOS,N,35016,2013-07-22
BOS,N,34609,2013-07-23
BOS,N,36514,2013-07-24
BOS,N,37242,2013-07-29
BOS,N,34578,2013-07-30
BOS,N,35059,2013-07-31
BOS,N,35886,2013-08-01
BOS,N,37652,2013-08-02
BOS,N,37941,2013-08-03
BOS,N,38143,2013-08-16
BOS,N,37917,2013-08-18
BOS,N,36226,2013-08-27
BOS,N,31962,2013-08-28
BOS,N,33300,2013-08-29
BOS,N,36063,2013-08-30
BOS,N,37363,2013-08-31
BOS,N,32071,2013-09-03
BOS,N,33720,2013-09-04
BOS,N,37542,2013-09-13
BOS,N,37137,2013-09-15
BOS,N,35030,2013-09-17
