Team,D/N,Attendance,Date
BOS,D,36594,2017-04-03
BOS,D,32400,2017-04-13
BOS,D,36686,2017-04-15
BOS,D,36209,2017-04-16
BOS,D,37318,2017-04-17
BOS,D,36776,2017-04-29
BOS,D,35447,2017-05-13
BOS,D,35080,2017-05-14
BOS,D,36985,2017-05-27
BOS,D,37174,2017-05-28
BOS,D,36474,2017-06-25
BOS,D,36936,2017-07-15
BOS,D,37343,2017-07-16
BOS,D,37094,2017-07-20
BOS,D,36480,2017-07-30
BOS,D,37283,2017-08-06
BOS,D,36911,2017-08-20
BOS,D,36655,2017-08-26
BOS,D,36625,2017-08-27
BOS,D,35859,2017-09-10
BOS,D,35470,2017-09-14
BOS,D,35722,2017-09-30
BOS,D,34517,2017-10-01
BOS,D,36134,2018-04-05
BOS,D,31821,2018-04-07
BOS,D,31979,2018-04-08
BOS,D,33584,2018-04-14
BOS,D,32489,2018-04-15
BOS,D,35795,2018-04-28
BOS,D,32888,2018-04-29
BOS,D,32267,2018-05-02
BOS,D,35550,2018-05-20
BOS,D,36510,2018-05-26
BOS,D,36543,2018-05-27
BOS,D,34700,2018-05-28
BOS,D,33451,2018-05-30
BOS,D,36675,2018-06-09
BOS,D,36998,2018-06-10
BOS,D,36274,2018-06-24
BOS,D,36390,2018-07-14
BOS,D,36940,2018-07-15
BOS,D,36785,2018-07-29
BOS,D,36699,2018-08-04
BOS,D,37242,2018-08-19
BOS,D,37396,2018-08-23
BOS,D,36684,2018-09-08
BOS,D,36611,2018-09-15
BOS,D,36526,2018-09-16
BOS,D,33577,2018-09-26
BOS,D,36375,2018-09-29
BOS,D,36201,2018-09-30
