Gm#,Date,Tm,D/N,Attendance
7,Thursday Apr 5,BOS,D,36134
8,Saturday Apr 7,BOS,D,31821
9,Sunday Apr 8,BOS,D,31979
10,Tuesday Apr 10,BOS,N,32357
11,Wednesday Apr 11,BOS,N,32400
12,Thursday Apr 12,BOS,N,36341
13,Friday Apr 13,BOS,N,32610
14,Saturday Apr 14,BOS,D,33584
15,Sunday Apr 15,BOS,D,32489
25,Friday Apr 27,BOS,N,32620
26,Saturday Apr 28,BOS,D,35795
27,Sunday Apr 29,BOS,D,32888
28,Monday Apr 30,BOS,N,31314
29,Tuesday May 1,BOS,N,34466
30,Wednesday May 2,BOS,D,32267
41,Monday May 14,BOS,N,35249
42,Tuesday May 15,BOS,N,34906
43,Wednesday May 16,BOS,N,34947
44,Thursday May 17,BOS,N,36615
45,Friday May 18,BOS,N,34935
46,Saturday May 19,BOS,N,34195
47,Sunday May 20,BOS,D,35550
51,Friday May 25,BOS,N,37008
52,Saturday May 26,BOS,D,36510
53,Sunday May 27,BOS,D,36543
54,Monday May 28,BOS,D,34700
55,Tuesday May 29,BOS,N,33380
56,Wednesday May 30,BOS,D,33451
61,Tuesday Jun 5,BOS,N,34762
62,Wednesday Jun 6,BOS,N,35182
63,Thursday Jun 7,BOS,N,36556
64,Friday Jun 8,BOS,N,36593
65,Saturday Jun 9,BOS,D,36675
66,Sunday Jun 10,BOS,D,36998
77,Friday Jun 22,BOS,N,37342
78,Saturday Jun 23,BOS,N,36051
79,Sunday Jun 24,BOS,D,36274
80,Tuesday Jun 26,BOS,N,37366
81,Wednesday Jun 27,BOS,N,37521
82,Thursday Jun 28,BOS,N,36992
92,Monday Jul 9,BOS,N,36754
93,Tuesday Jul 10,BOS,N,36883
94,Wednesday Jul 11,BOS,N,36920
95,Thursday Jul 12,BOS,N,37182
96,Friday Jul 13,BOS,N,37018
97,Saturday Jul 14,BOS,D,36390
98,Sunday Jul 15,BOS,D,36940
104,Thursday Jul 26,BOS,N,37439
105,Friday Jul 27,BOS,N,37273
106,Saturday Jul 28,BOS,N,36798
107,Sunday Jul 29,BOS,D,36785
108,Monday Jul 30,BOS,N,37722
109,Tuesday Jul 31,BOS,N,37816
110,Thursday Aug 2,BOS,N,37317
111,Friday Aug 3,BOS,N,37231
112,Saturday Aug 4,BOS,D,36699
113,Sunday Aug 5,BOS,N,37830
123,Friday Aug 17,BOS,N,37012
124,Saturday Aug 18,BOS,N,36654
125,Sunday Aug 19,BOS,D,37242
126,Monday Aug 20,BOS,N,37274
127,Tuesday Aug 21,BOS,N,37188
128,Wednesday Aug 22,BOS,N,37107
129,Thursday Aug 23,BOS,D,37396
133,Tuesday Aug 28,BOS,N,36708
134,Wednesday Aug 29,BOS,N,36628
142,Friday Sep 7,BOS,N,36930
143,Saturday Sep 8,BOS,D,36684
144,Sunday Sep 9,BOS,N,32787
145,Tuesday Sep 11,BOS,N,34747
146,Wednesday Sep 12,BOS,N,35178
147,Thursday Sep 13,BOS,N,36427
148,Friday Sep 14,BOS,N,37117
149,Saturday Sep 15,BOS,D,36611
150,Sunday Sep 16,BOS,D,36526
157,Monday Sep 24,BOS,N,35619
158,Wednesday Sep 26 (1),BOS,D,33577
159,Wednesday Sep 26 (2),BOS,N,34445
160,Friday Sep 28,BOS,N,36779
161,Saturday Sep 29,BOS,D,36375
162,Sunday Sep 30,BOS,D,36201
10,Tuesday Apr 10,CHC,D,40144
11,Wednesday Apr 11,CHC,N,35596
12,Thursday Apr 12,CHC,D,29949
13,Friday Apr 13,CHC,D,29775
14,Saturday Apr 14,CHC,D,36788
15,Tuesday Apr 17,CHC,N,35103
16,Thursday Apr 19,CHC,D,29648
22,Thursday Apr 26,CHC,N,37197
23,Friday Apr 27,CHC,D,35579
24,Saturday Apr 28,CHC,D,40147
25,Sunday Apr 29,CHC,D,40895
26,Monday Apr 30,CHC,N,35922
27,Tuesday May 1,CHC,N,40077
28,Wednesday May 2,CHC,D,32909
32,Monday May 7,CHC,N,37333
33,Tuesday May 8,CHC,N,40051
34,Wednesday May 9,CHC,D,34486
35,Friday May 11,CHC,D,39585
36,Saturday May 12,CHC,D,41099
37,Sunday May 13,CHC,D,40537
38,Monday May 14,CHC,D,35946
45,Tuesday May 22,CHC,N,37168
46,Wednesday May 23,CHC,N,39004
47,Friday May 25,CHC,D,41177
48,Saturday May 26,CHC,N,41250
49,Sunday May 27,CHC,N,41587
57,Tuesday Jun 5,CHC,N,40553
58,Wednesday Jun 6,CHC,N,40275
59,Thursday Jun 7,CHC,D,40057
60,Friday Jun 8,CHC,D,40097
61,Saturday Jun 9,CHC,D,41045
62,Sunday Jun 10,CHC,D,40735
69,Tuesday Jun 19 (1),CHC,D,39273
70,Tuesday Jun 19 (2),CHC,N,40409
71,Wednesday Jun 20,CHC,D,41199
80,Friday Jun 29,CHC,D,41492
81,Saturday Jun 30,CHC,D,40950
82,Sunday Jul 1,CHC,D,40051
83,Tuesday Jul 3,CHC,D,38424
84,Wednesday Jul 4,CHC,D,40510
85,Friday Jul 6,CHC,D,41434
86,Saturday Jul 7,CHC,D,41538
87,Sunday Jul 8,CHC,D,38655
94,Thursday Jul 19,CHC,N,41406
95,Friday Jul 20,CHC,D,41077
96,Saturday Jul 21 (1),CHC,D,41004
97,Saturday Jul 21 (2),CHC,N,41244
98,Sunday Jul 22,CHC,D,39737
99,Monday Jul 23,CHC,N,40859
100,Tuesday Jul 24,CHC,N,40869
101,Wednesday Jul 25,CHC,D,35548
102,Thursday Jul 26,CHC,D,38979
108,Thursday Aug 2,CHC,N,40714
109,Friday Aug 3,CHC,D,40894
110,Saturday Aug 4,CHC,D,40855
111,Sunday Aug 5,CHC,D,41136
115,Friday Aug 10,CHC,D,41531
116,Saturday Aug 11,CHC,D,41320
117,Sunday Aug 12,CHC,N,36490
118,Tuesday Aug 14,CHC,D,40441
119,Wednesday Aug 15,CHC,D,39619
126,Thursday Aug 23,CHC,N,41130
127,Friday Aug 24,CHC,D,37760
128,Saturday Aug 25,CHC,D,41205
129,Sunday Aug 26,CHC,D,40331
130,Monday Aug 27,CHC,N,38935
131,Tuesday Aug 28,CHC,N,37017
132,Wednesday Aug 29,CHC,D,33386
143,Monday Sep 10,CHC,N,38471
144,Tuesday Sep 11,CHC,N,37017
145,Wednesday Sep 12,CHC,N,40234
147,Friday Sep 14,CHC,N,36468
148,Saturday Sep 15,CHC,D,41196
149,Sunday Sep 16,CHC,D,41314
156,Monday Sep 24,CHC,N,34570
157,Tuesday Sep 25,CHC,N,33443
158,Wednesday Sep 26,CHC,N,32874
159,Thursday Sep 27,CHC,N,38415
160,Friday Sep 28,CHC,D,39442
161,Saturday Sep 29,CHC,D,40784
162,Sunday Sep 30,CHC,D,39275
163,Monday Oct 1,CHC,D,38450
