Gm#,Date,Tm,D/N,Attendance
1,Tuesday Apr 7,BOS,D,37057
2,Wednesday Apr 8,BOS,N,37552
3,Thursday Apr 9,BOS,D,37784
10,Friday Apr 17,BOS,N,38266
11,Saturday Apr 18,BOS,N,37559
12,Sunday Apr 19,BOS,D,37869
13,Monday Apr 20,BOS,D,37865
14,Wednesday Apr 22 (1),BOS,D,37608
15,Wednesday Apr 22 (2),BOS,N,37494
16,Friday Apr 24,BOS,N,38163
17,Saturday Apr 25,BOS,D,37699
18,Sunday Apr 26,BOS,N,38154
28,Wednesday May 6,BOS,N,37888
29,Thursday May 7,BOS,N,37541
30,Friday May 8,BOS,N,37745
31,Saturday May 9,BOS,D,37773
32,Sunday May 10,BOS,N,37759
39,Tuesday May 19,BOS,N,37830
40,Wednesday May 20,BOS,N,38099
41,Thursday May 21,BOS,N,38347
42,Friday May 22,BOS,N,38092
43,Saturday May 23,BOS,N,37871
44,Sunday May 24,BOS,D,37446
55,Friday Jun 5,BOS,N,37519
56,Saturday Jun 6,BOS,N,37828
57,Sunday Jun 7,BOS,D,37537
58,Tuesday Jun 9,BOS,N,37883
59,Wednesday Jun 10,BOS,N,38121
60,Thursday Jun 11,BOS,N,38153
64,Tuesday Jun 16,BOS,N,38149
65,Wednesday Jun 17,BOS,N,38196
66,Thursday Jun 18,BOS,N,37577
67,Friday Jun 19,BOS,N,37703
68,Saturday Jun 20,BOS,N,38029
69,Sunday Jun 21,BOS,D,37243
79,Friday Jul 3,BOS,N,38078
80,Saturday Jul 4,BOS,D,37656
81,Sunday Jul 5,BOS,D,37691
82,Monday Jul 6,BOS,N,38294
83,Tuesday Jul 7,BOS,N,37676
84,Wednesday Jul 8,BOS,N,37981
85,Thursday Jul 9,BOS,N,38189
86,Friday Jul 10,BOS,N,38116
87,Saturday Jul 11,BOS,N,37825
88,Sunday Jul 12,BOS,D,37612
95,Friday Jul 24,BOS,N,38058
96,Saturday Jul 25,BOS,N,38063
97,Sunday Jul 26,BOS,D,37606
98,Monday Jul 27,BOS,N,37955
99,Tuesday Jul 28,BOS,N,38084
