Gm#,Date,Tm,D/N,Attendance
100,Wednesday Jul 29,BOS,N,38193
101,Thursday Jul 30,BOS,D,37919
111,Monday Aug 10,BOS,N,37960
112,Tuesday Aug 11,BOS,N,38013
113,Wednesday Aug 12,BOS,N,38124
114,Thursday Aug 13,BOS,D,37556
121,Friday Aug 21,BOS,N,37869
122,Saturday Aug 22,BOS,D,37277
123,Sunday Aug 23,BOS,N,38008
124,Monday Aug 24,BOS,N,37812
125,Tuesday Aug 25,BOS,N,38059
126,Wednesday Aug 26,BOS,N,37839
127,Thursday Aug 27,BOS,N,38003
128,Friday Aug 28,BOS,N,37844
129,Saturday Aug 29,BOS,N,37452
130,Sunday Aug 30,BOS,D,37560
138,Tuesday Sep 8,BOS,N,37647
139,Wednesday Sep 9,BOS,N,37712
140,Saturday Sep 12,BOS,N,37755
141,Sunday Sep 13 (1),BOS,D,38228
142,Sunday Sep 13 (2),BOS,N,37271
143,Tuesday Sep 15,BOS,N,37942
144,Wednesday Sep 16,BOS,N,37706
145,Thursday Sep 17,BOS,N,38157
156,Monday Sep 28,BOS,N,37591
157,Tuesday Sep 29,BOS,N,37618
158,Wednesday Sep 30,BOS,N,37246
159,Thursday Oct 1,BOS,N,37459
160,Friday Oct 2,BOS,N,37787
161,Saturday Oct 3,BOS,N,37562
162,Sunday Oct 4,BOS,D,37247
7,Monday Apr 13,CHC,D,40077
8,Wednesday Apr 15,CHC,D,39361
9,Thursday Apr 16,CHC,D,38909
10,Friday Apr 17,CHC,D,40250
11,Saturday Apr 18,CHC,D,40878
12,Tuesday Apr 21,CHC,N,38403
13,Wednesday Apr 22,CHC,N,38738
14,Thursday Apr 23,CHC,D,40039
21,Thursday Apr 30,CHC,N,37956
22,Friday May 1,CHC,D,38336
23,Saturday May 2,CHC,D,40083
24,Sunday May 3,CHC,D,40457
25,Monday May 4,CHC,N,39112
26,Tuesday May 5,CHC,D,39497
32,Tuesday May 12,CHC,N,39963
33,Wednesday May 13,CHC,N,38410
34,Thursday May 14,CHC,D,39728
35,Saturday May 16,CHC,D,40549
36,Sunday May 17,CHC,D,40478
43,Monday May 25,CHC,N,38942
44,Tuesday May 26,CHC,N,38303
45,Wednesday May 27,CHC,D,38314
46,Thursday May 28,CHC,N,39579
47,Friday May 29,CHC,D,40148
48,Saturday May 30,CHC,D,41153
49,Sunday May 31,CHC,N,40091
58,Friday Jun 12,CHC,D,41509
59,Saturday Jun 13,CHC,D,40899
60,Sunday Jun 14,CHC,D,40814
61,Wednesday Jun 17,CHC,D,40444
62,Thursday Jun 18,CHC,D,40467
63,Friday Jun 19,CHC,D,40155
64,Saturday Jun 20,CHC,D,41007
65,Sunday Jun 21,CHC,D,40866
76,Thursday Jul 2,CHC,N,40545
77,Friday Jul 3,CHC,D,41204
78,Saturday Jul 4,CHC,D,40088
79,Sunday Jul 5,CHC,D,40369
80,Monday Jul 6,CHC,N,40042
81,Tuesday Jul 7,CHC,N,40359
82,Wednesday Jul 8,CHC,D,40531
83,Friday Jul 10,CHC,D,40687
84,Saturday Jul 11,CHC,D,41210
85,Sunday Jul 12 (1),CHC,D,40701
86,Sunday Jul 12 (2),CHC,N,41244
94,Friday Jul 24,CHC,D,41406
95,Saturday Jul 25,CHC,D,41364
96,Sunday Jul 26,CHC,D,41528
97,Monday Jul 27,CHC,N,40794
98,Tuesday Jul 28,CHC,N,40814
99,Wednesday Jul 29,CHC,D,41538
100,Thursday Jul 30,CHC,D,41524
111,Tuesday Aug 11,CHC,N,41477
112,Wednesday Aug 12,CHC,N,41133
113,Thursday Aug 13,CHC,D,41100
114,Friday Aug 14,CHC,D,41619
115,Saturday Aug 15,CHC,D,41197
123,Tuesday Aug 25,CHC,N,37297
124,Wednesday Aug 26,CHC,N,36562
125,Thursday Aug 27,CHC,D,35174
126,Friday Aug 28,CHC,D,39381
127,Saturday Aug 29,CHC,D,40857
128,Sunday Aug 30,CHC,D,39907
129,Monday Aug 31,CHC,N,36990
130,Tuesday Sep 1,CHC,N,36332
131,Wednesday Sep 2,CHC,D,39192
132,Thursday Sep 3,CHC,D,40741
139,Friday Sep 11,CHC,D,39881
140,Saturday Sep 12,CHC,D,40351
141,Sunday Sep 13,CHC,D,39805
142,Monday Sep 14,CHC,N,38725
143,Tuesday Sep 15,CHC,N,38986
144,Wednesday Sep 16,CHC,N,38084
145,Thursday Sep 17,CHC,D,39158
156,Tuesday Sep 29,CHC,N,35308
157,Wednesday Sep 30 (1),CHC,D,34362
158,Wednesday Sep 30 (2),CHC,N,33299
159,Friday Oct 2,CHC,D,33786
160,Saturday Oct 3,CHC,D,39138
161,Sunday Oct 4,CHC,D,39154
