Gm#,Date,Tm,D/N,Attendance
7,Friday Apr 8,BOS,D,37178
8,Saturday Apr 9,BOS,D,37488
9,Sunday Apr 10,BOS,N,37861
10,Monday Apr 11,BOS,N,37568
11,Tuesday Apr 12,BOS,N,37015
12,Friday Apr 15,BOS,N,37467
13,Saturday Apr 16,BOS,D,37310
14,Sunday Apr 17,BOS,D,37802
15,Monday Apr 18,BOS,D,37916
25,Friday Apr 29,BOS,N,37845
26,Saturday Apr 30,BOS,N,37901
27,Sunday May 1,BOS,D,37079
28,Monday May 2,BOS,N,37017
29,Tuesday May 3,BOS,N,37043
30,Wednesday May 4,BOS,N,37037
31,Thursday May 5,BOS,D,37013
32,Friday May 6,BOS,N,37798
33,Saturday May 7,BOS,D,37234
34,Sunday May 8,BOS,D,37526
35,Monday May 9,BOS,N,37276
41,Monday May 16,BOS,N,37138
42,Wednesday May 18,BOS,N,37311
43,Thursday May 19,BOS,N,37660
44,Friday May 20,BOS,N,37140
45,Saturday May 21,BOS,N,37798
46,Sunday May 22,BOS,N,37688
54,Monday May 30,BOS,N,37463
55,Tuesday May 31,BOS,N,37269
56,Wednesday Jun 1,BOS,D,37321
57,Friday Jun 3,BOS,N,37808
58,Saturday Jun 4,BOS,D,37485
59,Sunday Jun 5,BOS,D,37796
69,Friday Jun 17,BOS,N,37833
70,Saturday Jun 18,BOS,N,38175
71,Sunday Jun 19,BOS,D,37903
72,Monday Jun 20,BOS,N,38020
73,Tuesday Jun 21,BOS,N,38422
74,Wednesday Jun 22,BOS,D,37419
84,Monday Jul 4,BOS,D,38072
85,Tuesday Jul 5,BOS,N,37745
86,Wednesday Jul 6,BOS,N,37404
87,Thursday Jul 7,BOS,N,37981
88,Friday Jul 8,BOS,N,37729
89,Saturday Jul 9,BOS,N,38205
90,Sunday Jul 10,BOS,D,37688
97,Friday Jul 22,BOS,N,38048
98,Saturday Jul 23,BOS,N,38115
99,Sunday Jul 24,BOS,D,37650
100,Monday Jul 25,BOS,N,37727
101,Tuesday Jul 26,BOS,N,37460
102,Wednesday Jul 27,BOS,N,38329
103,Thursday Jul 28,BOS,D,37822
107,Monday Aug 1,BOS,N,37943
108,Tuesday Aug 2,BOS,N,38101
109,Wednesday Aug 3,BOS,N,38172
110,Thursday Aug 4,BOS,N,38477
111,Friday Aug 5,BOS,N,38006
112,Saturday Aug 6,BOS,D,37416
113,Sunday Aug 7,BOS,N,38189
120,Tuesday Aug 16 (1),BOS,D,38525
121,Tuesday Aug 16 (2),BOS,N,38278
122,Wednesday Aug 17,BOS,D,37747
131,Friday Aug 26,BOS,N,38239
132,Saturday Aug 27 (1),BOS,D,37314
133,Saturday Aug 27 (2),BOS,N,37039
134,Tuesday Aug 30,BOS,N,37773
135,Wednesday Aug 31,BOS,N,38021
136,Thursday Sep 1,BOS,N,38074
137,Friday Sep 2,BOS,N,38083
138,Saturday Sep 3,BOS,D,37806
139,Sunday Sep 4,BOS,D,37744
147,Tuesday Sep 13,BOS,N,38020
148,Wednesday Sep 14,BOS,D,37087
149,Thursday Sep 15,BOS,N,38071
150,Friday Sep 16,BOS,N,38019
151,Saturday Sep 17,BOS,D,37682
152,Sunday Sep 18,BOS,D,37613
153,Monday Sep 19 (1),BOS,D,37885
154,Monday Sep 19 (2),BOS,N,37261
155,Tuesday Sep 20,BOS,N,37414
156,Wednesday Sep 21,BOS,N,38004
1,Friday Apr 1,CHC,D,41358
2,Saturday Apr 2,CHC,D,35782
3,Sunday Apr 3,CHC,D,30857
4,Monday Apr 4,CHC,D,26292
5,Tuesday Apr 5,CHC,D,27039
6,Wednesday Apr 6,CHC,D,32272
16,Monday Apr 18,CHC,N,36597
17,Wednesday Apr 20 (1),CHC,D,35544
18,Wednesday Apr 20 (2),CHC,N,35095
19,Friday Apr 22,CHC,D,36595
20,Saturday Apr 23,CHC,D,41161
21,Sunday Apr 24,CHC,D,32943
22,Monday Apr 25,CHC,N,37417
23,Tuesday Apr 26,CHC,N,38261
31,Friday May 6,CHC,D,35471
32,Saturday May 7,CHC,D,37666
33,Sunday May 8,CHC,D,31931
34,Tuesday May 10,CHC,N,34249
35,Wednesday May 11,CHC,N,34439
36,Thursday May 12,CHC,D,32559
37,Friday May 13,CHC,D,37433
38,Saturday May 14,CHC,N,39706
46,Tuesday May 24,CHC,N,35707
47,Wednesday May 25,CHC,N,36666
48,Thursday May 26,CHC,D,33378
49,Friday May 27,CHC,D,34105
50,Saturday May 28,CHC,D,38413
51,Sunday May 29,CHC,D,37464
52,Monday May 30,CHC,D,30450
53,Tuesday May 31,CHC,N,31178
54,Wednesday Jun 1,CHC,D,31340
65,Monday Jun 13,CHC,N,39070
66,Tuesday Jun 14,CHC,N,39151
67,Wednesday Jun 15,CHC,N,39821
68,Thursday Jun 16,CHC,D,40024
69,Friday Jun 17,CHC,D,42219
70,Saturday Jun 18,CHC,D,42236
71,Sunday Jun 19,CHC,N,41828
78,Monday Jun 27,CHC,D,40854
79,Tuesday Jun 28 (1),CHC,D,39157
80,Tuesday Jun 28 (2),CHC,N,38360
81,Wednesday Jun 29,CHC,N,37221
82,Thursday Jun 30,CHC,D,38158
83,Friday Jul 1,CHC,D,41486
84,Saturday Jul 2,CHC,D,42165
85,Sunday Jul 3,CHC,D,42311
93,Thursday Jul 14,CHC,N,38145
94,Friday Jul 15,CHC,D,38391
95,Saturday Jul 16,CHC,D,40709
96,Sunday Jul 17,CHC,D,37634
97,Monday Jul 18,CHC,N,38183
98,Tuesday Jul 19,CHC,N,38857
99,Wednesday Jul 20,CHC,D,37864
100,Friday Jul 22,CHC,D,39855
101,Saturday Jul 23,CHC,D,40486
102,Sunday Jul 24,CHC,D,40406
113,Friday Aug 5,CHC,D,42245
114,Saturday Aug 6,CHC,D,41978
115,Sunday Aug 7,CHC,D,39619
116,Tuesday Aug 9,CHC,N,37109
117,Wednesday Aug 10,CHC,N,38010
118,Thursday Aug 11,CHC,D,34733
125,Friday Aug 19,CHC,D,42343
126,Saturday Aug 20,CHC,D,42374
127,Sunday Aug 21,CHC,N,39420
128,Monday Aug 22,CHC,N,37061
129,Tuesday Aug 23,CHC,N,36639
130,Wednesday Aug 24,CHC,N,37098
131,Thursday Aug 25,CHC,D,36136
138,Friday Sep 2,CHC,D,35153
139,Saturday Sep 3,CHC,D,36628
140,Sunday Sep 4,CHC,D,40469
141,Monday Sep 5,CHC,D,41341
142,Tuesday Sep 6,CHC,N,35297
143,Wednesday Sep 7,CHC,N,36797
151,Friday Sep 16,CHC,D,35318
152,Saturday Sep 17,CHC,D,39377
153,Sunday Sep 18,CHC,D,36250
154,Monday Sep 19,CHC,N,35076
155,Tuesday Sep 20,CHC,N,36571
156,Wednesday Sep 21,CHC,D,30965
