Gm#,Date,Tm,D/N,Attendance
7,Monday Apr 8,BOS,D,37008
8,Wednesday Apr 10,BOS,N,30862
9,Thursday Apr 11,BOS,N,27704
10,Saturday Apr 13,BOS,D,33039
11,Sunday Apr 14,BOS,D,35198
12,Monday Apr 15,BOS,D,37449
16,Saturday Apr 20,BOS,D,35152
17,Sunday Apr 21 (1),BOS,D,31483
18,Sunday Apr 21 (2),BOS,N,33270
19,Monday Apr 22,BOS,N,28926
20,Tuesday Apr 23,BOS,N,29006
21,Wednesday Apr 24,BOS,D,29274
22,Thursday Apr 25,BOS,N,30093
23,Friday Apr 26,BOS,N,29312
24,Saturday Apr 27,BOS,N,34726
25,Sunday Apr 28,BOS,D,36527
32,Monday May 6,BOS,N,31088
33,Tuesday May 7,BOS,N,30549
34,Wednesday May 8,BOS,N,29969
35,Thursday May 9,BOS,N,31571
36,Friday May 10,BOS,N,33606
37,Saturday May 11,BOS,D,36543
38,Sunday May 12,BOS,D,35532
48,Thursday May 23,BOS,N,35254
49,Friday May 24,BOS,N,34074
50,Saturday May 25,BOS,D,36504
51,Sunday May 26,BOS,D,37046
52,Monday May 27,BOS,N,33627
53,Tuesday May 28,BOS,N,33463
59,Tuesday Jun 4,BOS,N,32035
60,Wednesday Jun 5,BOS,N,33296
61,Thursday Jun 6,BOS,N,35352
62,Saturday Jun 8 (1),BOS,D,34499
63,Saturday Jun 8 (2),BOS,N,36518
64,Sunday Jun 9,BOS,D,37054
72,Tuesday Jun 18 (1),BOS,D,33430
73,Tuesday Jun 18 (2),BOS,N,32156
74,Wednesday Jun 19,BOS,N,35710
79,Tuesday Jun 25,BOS,N,36286
80,Wednesday Jun 26,BOS,D,34632
81,Thursday Jun 27,BOS,N,34750
82,Friday Jun 28,BOS,N,36383
83,Saturday Jun 29,BOS,D,37437
84,Sunday Jun 30,BOS,D,37425
85,Tuesday Jul 2,BOS,N,36498
86,Wednesday Jul 3,BOS,N,36911
87,Thursday Jul 4,BOS,D,37607
98,Friday Jul 19,BOS,N,38130
99,Saturday Jul 20,BOS,D,37601
100,Sunday Jul 21,BOS,N,38138
101,Monday Jul 22,BOS,N,35016
102,Tuesday Jul 23,BOS,N,34609
103,Wednesday Jul 24,BOS,N,36514
107,Monday Jul 29,BOS,N,37242
108,Tuesday Jul 30,BOS,N,34578
109,Wednesday Jul 31,BOS,N,35059
110,Thursday Aug 1,BOS,N,35886
111,Friday Aug 2,BOS,N,37652
112,Saturday Aug 3,BOS,N,37941
113,Sunday Aug 4,BOS,D,37611
124,Friday Aug 16,BOS,N,38143
125,Saturday Aug 17,BOS,D,37517
126,Sunday Aug 18,BOS,N,37917
133,Tuesday Aug 27,BOS,N,36226
134,Wednesday Aug 28,BOS,N,31962
135,Thursday Aug 29,BOS,N,33300
136,Friday Aug 30,BOS,N,36063
137,Saturday Aug 31,BOS,N,37363
138,Sunday Sep 1,BOS,D,37053
139,Monday Sep 2,BOS,D,36188
140,Tuesday Sep 3,BOS,N,32071
141,Wednesday Sep 4,BOS,N,33720
149,Friday Sep 13,BOS,N,37542
150,Saturday Sep 14,BOS,D,37510
151,Sunday Sep 15,BOS,N,37137
152,Tuesday Sep 17,BOS,N,35030
