Gm#,Date,Tm,D/N,Attendance
66,Tuesday Jun 15,BOS,N,37459
67,Wednesday Jun 16,BOS,N,37452
68,Thursday Jun 17,BOS,N,37544
69,Friday Jun 18,BOS,N,37723
71,Sunday Jun 20,BOS,N,37430
78,Tuesday Jun 29,BOS,N,38013
79,Wednesday Jun 30,BOS,N,38055
80,Friday Jul 2,BOS,N,38067
81,Saturday Jul 3,BOS,N,38106
89,Thursday Jul 15,BOS,N,38062
90,Friday Jul 16,BOS,N,37669
91,Saturday Jul 17,BOS,N,37744
103,Friday Jul 30,BOS,N,37832
106,Monday Aug 2,BOS,N,37931
107,Tuesday Aug 3,BOS,N,37714
108,Wednesday Aug 4,BOS,N,37902
109,Thursday Aug 5,BOS,N,38102
120,Tuesday Aug 17,BOS,N,38304
121,Wednesday Aug 18,BOS,N,37779
122,Thursday Aug 19,BOS,N,37641
123,Friday Aug 20,BOS,N,37726
124,Saturday Aug 21,BOS,N,37614
126,Monday Aug 23,BOS,N,37133
128,Wednesday Aug 25 (2),BOS,N,37451
136,Saturday Sep 4 (2),BOS,N,37858
138,Monday Sep 6,BOS,N,37546
139,Tuesday Sep 7,BOS,N,37290
140,Wednesday Sep 8,BOS,N,37757
147,Friday Sep 17,BOS,N,37679
148,Saturday Sep 18,BOS,N,37863
150,Monday Sep 20,BOS,N,37560
151,Tuesday Sep 21,BOS,N,37464
152,Wednesday Sep 22,BOS,N,37729
161,Saturday Oct 2 (2),BOS,N,37589
7,Monday Apr 12,CHC,D,41306
8,Wednesday Apr 14,CHC,D,39565
9,Thursday Apr 15,CHC,D,38026
10,Friday Apr 16,CHC,D,37291
11,Saturday Apr 17,CHC,D,40471
12,Sunday Apr 18,CHC,D,39506
22,Wednesday Apr 28,CHC,D,36660
23,Thursday Apr 29,CHC,D,36850
24,Friday Apr 30,CHC,D,37800
25,Saturday May 1,CHC,D,40368
26,Sunday May 2,CHC,D,38144
35,Wednesday May 12,CHC,D,38637
36,Friday May 14,CHC,D,39082
37,Saturday May 15,CHC,D,41336
38,Sunday May 16,CHC,D,40636
48,Thursday May 27,CHC,D,33868
49,Friday May 28,CHC,D,39536
50,Saturday May 29,CHC,D,40601
51,Sunday May 30,CHC,D,41353
61,Friday Jun 11,CHC,D,41129
62,Saturday Jun 12,CHC,D,40397
66,Thursday Jun 17,CHC,D,36942
67,Friday Jun 18,CHC,D,39729
68,Saturday Jun 19,CHC,D,40008
69,Sunday Jun 20,CHC,D,39850
78,Wednesday Jun 30,CHC,D,37391
79,Thursday Jul 1,CHC,D,36880
80,Friday Jul 2,CHC,D,40361
81,Saturday Jul 3,CHC,D,40677
82,Sunday Jul 4,CHC,D,41079
91,Friday Jul 16,CHC,D,40622
92,Saturday Jul 17,CHC,D,40924
96,Wednesday Jul 21,CHC,D,38533
97,Friday Jul 23,CHC,D,40687
98,Saturday Jul 24,CHC,D,41009
108,Wednesday Aug 4,CHC,D,38425
109,Friday Aug 6,CHC,D,40696
110,Saturday Aug 7,CHC,D,41227
111,Sunday Aug 8,CHC,D,39016
121,Wednesday Aug 18,CHC,D,33267
122,Thursday Aug 19,CHC,D,30687
123,Friday Aug 20,CHC,D,39345
124,Saturday Aug 21,CHC,D,41099
125,Sunday Aug 22,CHC,D,37518
134,Wednesday Sep 1,CHC,D,33555
135,Friday Sep 3,CHC,D,31424
136,Saturday Sep 4,CHC,D,39473
137,Sunday Sep 5,CHC,D,40788
138,Monday Sep 6,CHC,D,31647
153,Friday Sep 24,CHC,D,36553
154,Saturday Sep 25,CHC,D,39316
155,Sunday Sep 26,CHC,D,38057
20,Monday Apr 26,CHC,N,37850
21,Tuesday Apr 27,CHC,N,37440
33,Monday May 10,CHC,N,38266
34,Tuesday May 11,CHC,N,38007
39,Monday May 17,CHC,N,35760
40,Tuesday May 18,CHC,N,37029
46,Tuesday May 25,CHC,N,34749
47,Wednesday May 26,CHC,N,35828
63,Sunday Jun 13,CHC,N,40456
64,Tuesday Jun 15,CHC,N,34390
65,Wednesday Jun 16,CHC,N,36244
76,Monday Jun 28,CHC,N,38512
77,Tuesday Jun 29,CHC,N,36914
90,Thursday Jul 15,CHC,N,40879
93,Sunday Jul 18,CHC,N,39333
94,Monday Jul 19,CHC,N,35514
95,Tuesday Jul 20,CHC,N,36401
99,Sunday Jul 25,CHC,N,41406
106,Monday Aug 2,CHC,N,37731
107,Tuesday Aug 3,CHC,N,36183
119,Monday Aug 16,CHC,N,36814
120,Tuesday Aug 17,CHC,N,33664
132,Monday Aug 30,CHC,N,29538
133,Tuesday Aug 31,CHC,N,31369
139,Tuesday Sep 7,CHC,N,31596
140,Wednesday Sep 8,CHC,N,33623
150,Tuesday Sep 21,CHC,N,36364
151,Wednesday Sep 22,CHC,N,37285
152,Thursday Sep 23,CHC,N,34481
