Gm#,Date,Tm,D/N,Attendance
12,Sunday Apr 18,BOS,D,37143
13,Monday Apr 19,BOS,D,37609
19,Sunday Apr 25,BOS,D,37102
31,Saturday May 8,BOS,D,37138
35,Wednesday May 12,BOS,D,37198
52,Sunday May 30,BOS,D,37581
55,Thursday Jun 3,BOS,D,37386
64,Saturday Jun 12,BOS,D,37061
65,Sunday Jun 13,BOS,D,37230
70,Saturday Jun 19,BOS,D,37454
82,Sunday Jul 4,BOS,D,37742
92,Sunday Jul 18,BOS,D,37431
104,Saturday Jul 31,BOS,D,37498
105,Sunday Aug 1,BOS,D,37479
125,Sunday Aug 22,BOS,D,37506
127,Wednesday Aug 25 (1),BOS,D,37183
135,Saturday Sep 4 (1),BOS,D,37411
137,Sunday Sep 5,BOS,D,37570
149,Sunday Sep 19,BOS,D,37234
160,Saturday Oct 2 (1),BOS,D,37467
162,Sunday Oct 3,BOS,D,37453
1,Sunday Apr 4,BOS,N,37440
2,Tuesday Apr 6,BOS,N,38000
3,Wednesday Apr 7,BOS,N,38238
10,Friday Apr 16,BOS,N,37084
11,Saturday Apr 17,BOS,N,37022
14,Tuesday Apr 20,BOS,N,37614
15,Wednesday Apr 21,BOS,N,37518
16,Thursday Apr 22,BOS,N,37417
17,Friday Apr 23,BOS,N,37367
18,Saturday Apr 24,BOS,N,38017
26,Monday May 3,BOS,N,37404
27,Tuesday May 4,BOS,N,37411
28,Wednesday May 5,BOS,N,37601
29,Thursday May 6,BOS,N,37639
30,Friday May 7,BOS,N,37898
32,Sunday May 9,BOS,N,37618
33,Monday May 10,BOS,N,37332
34,Tuesday May 11,BOS,N,37609
41,Wednesday May 19,BOS,N,37426
42,Thursday May 20,BOS,N,38144
49,Thursday May 27,BOS,N,37940
50,Friday May 28,BOS,N,37945
51,Saturday May 29,BOS,N,37956
53,Tuesday Jun 1,BOS,N,37337
54,Wednesday Jun 2,BOS,N,37783
63,Friday Jun 11,BOS,N,38021
