Gm#,Date,Tm,D/N,Attendance
6,Monday Apr 11,BOS,D,37160
7,Tuesday Apr 12,BOS,N,31114
8,Wednesday Apr 13,BOS,N,31011
9,Friday Apr 15,BOS,N,31415
10,Saturday Apr 16,BOS,D,36267
11,Sunday Apr 17,BOS,D,37217
12,Monday Apr 18,BOS,D,37168
13,Tuesday Apr 19,BOS,N,32061
14,Wednesday Apr 20,BOS,N,31689
15,Thursday Apr 21,BOS,D,37954
21,Wednesday Apr 27,BOS,N,33380
22,Thursday Apr 28,BOS,N,32232
23,Friday Apr 29,BOS,N,37115
24,Saturday Apr 30,BOS,N,37901
25,Sunday May 1,BOS,N,34279
32,Monday May 9,BOS,N,35227
33,Tuesday May 10,BOS,N,32167
34,Wednesday May 11,BOS,N,33283
35,Thursday May 12,BOS,N,34982
36,Friday May 13,BOS,N,33148
37,Saturday May 14,BOS,D,37430
38,Sunday May 15,BOS,D,35736
42,Friday May 20,BOS,N,37354
43,Saturday May 21,BOS,D,37254
44,Sunday May 22,BOS,D,36021
45,Tuesday May 24,BOS,N,36123
46,Wednesday May 25,BOS,N,36430
47,Thursday May 26,BOS,N,36162
55,Friday Jun 3,BOS,N,37129
56,Saturday Jun 4,BOS,D,37762
57,Sunday Jun 5,BOS,D,35823
63,Tuesday Jun 14,BOS,N,38009
64,Wednesday Jun 15,BOS,N,36233
65,Thursday Jun 16,BOS,N,36757
66,Friday Jun 17,BOS,N,35896
67,Saturday Jun 18,BOS,D,37195
68,Sunday Jun 19,BOS,D,37211
69,Monday Jun 20,BOS,N,36291
70,Tuesday Jun 21,BOS,N,36544
71,Wednesday Jun 22,BOS,N,37413
72,Thursday Jun 23,BOS,D,37790
79,Friday Jul 1,BOS,N,37117
80,Saturday Jul 2,BOS,N,36552
81,Sunday Jul 3,BOS,D,36801
82,Monday Jul 4,BOS,D,36253
83,Tuesday Jul 5,BOS,N,35964
84,Wednesday Jul 6,BOS,N,37175
85,Friday Jul 8,BOS,N,37739
86,Saturday Jul 9,BOS,D,36900
87,Sunday Jul 10,BOS,D,36669
91,Tuesday Jul 19,BOS,N,38082
92,Wednesday Jul 20,BOS,N,38201
93,Thursday Jul 21,BOS,N,37566
94,Friday Jul 22,BOS,N,37001
95,Saturday Jul 23,BOS,N,37600
96,Sunday Jul 24,BOS,D,36806
97,Monday Jul 25,BOS,N,37479
98,Tuesday Jul 26,BOS,N,38378
99,Wednesday Jul 27,BOS,D,37842
111,Tuesday Aug 9,BOS,N,38089
112,Wednesday Aug 10,BOS,N,37779
113,Thursday Aug 11,BOS,N,38161
114,Friday Aug 12,BOS,N,37555
115,Saturday Aug 13,BOS,N,37653
116,Sunday Aug 14,BOS,D,36842
128,Friday Aug 26,BOS,N,38134
129,Saturday Aug 27,BOS,N,37933
130,Sunday Aug 28,BOS,N,37337
131,Monday Aug 29,BOS,N,36948
132,Tuesday Aug 30,BOS,N,37083
133,Wednesday Aug 31,BOS,D,36786
143,Monday Sep 12,BOS,N,37551
144,Tuesday Sep 13,BOS,N,38041
145,Wednesday Sep 14,BOS,N,37973
146,Thursday Sep 15,BOS,N,37767
147,Friday Sep 16,BOS,N,37927
148,Saturday Sep 17,BOS,D,37267
149,Sunday Sep 18,BOS,N,37306
160,Friday Sep 30,BOS,N,37661
161,Saturday Oct 1,BOS,N,37396
162,Sunday Oct 2,BOS,D,36787
1,Sunday Apr 5,CHC,N,35055
2,Wednesday Apr 8,CHC,D,26814
6,Monday Apr 13,CHC,N,26390
7,Tuesday Apr 14,CHC,N,27525
8,Wednesday Apr 15,CHC,N,29205
9,Friday Apr 17,CHC,D,32138
10,Saturday Apr 18,CHC,D,33958
11,Sunday Apr 19,CHC,D,29113
18,Monday Apr 27,CHC,N,29159
19,Tuesday Apr 28,CHC,N,29915
20,Wednesday Apr 29,CHC,N,30634
21,Friday May 1,CHC,D,31128
22,Saturday May 2,CHC,D,34878
23,Sunday May 3,CHC,D,33398
31,Monday May 11,CHC,N,32980
32,Tuesday May 12,CHC,N,31542
33,Wednesday May 13,CHC,N,33709
34,Thursday May 14,CHC,D,31496
35,Friday May 15,CHC,D,33617
36,Saturday May 16,CHC,D,38883
37,Sunday May 17,CHC,D,36289
44,Monday May 25,CHC,D,38463
45,Tuesday May 26,CHC,N,30440
46,Wednesday May 27,CHC,N,34215
47,Friday May 29,CHC,D,34273
48,Sunday May 31,CHC,D,37766
58,Thursday Jun 11,CHC,N,35031
59,Friday Jun 12,CHC,D,40016
60,Saturday Jun 13,CHC,N,40693
61,Sunday Jun 14,CHC,N,33201
62,Tuesday Jun 16,CHC,N,35914
68,Monday Jun 22,CHC,N,35147
69,Tuesday Jun 23,CHC,N,36799
70,Wednesday Jun 24,CHC,N,36653
71,Thursday Jun 25,CHC,D,41498
78,Friday Jul 3,CHC,D,41212
79,Saturday Jul 4,CHC,N,37898
80,Sunday Jul 5,CHC,D,37764
81,Monday Jul 6,CHC,N,37609
82,Tuesday Jul 7 (1),CHC,D,34368
83,Tuesday Jul 7 (2),CHC,N,35703
84,Wednesday Jul 8,CHC,N,37993
85,Friday Jul 10,CHC,D,41580
86,Saturday Jul 11,CHC,D,41596
87,Sunday Jul 12,CHC,D,41688
95,Friday Jul 24,CHC,D,41230
96,Saturday Jul 25,CHC,D,41683
97,Sunday Jul 26,CHC,D,41123
98,Monday Jul 27,CHC,N,35070
99,Tuesday Jul 28,CHC,N,36747
100,Wednesday Jul 29,CHC,D,38874
107,Thursday Aug 6,CHC,N,41242
108,Friday Aug 7,CHC,D,41311
109,Saturday Aug 8,CHC,D,41305
110,Sunday Aug 9,CHC,D,39939
111,Tuesday Aug 11,CHC,N,37109
112,Wednesday Aug 12,CHC,N,36438
113,Thursday Aug 13,CHC,D,40799
117,Tuesday Aug 18,CHC,N,39684
118,Wednesday Aug 19,CHC,N,40310
119,Thursday Aug 20,CHC,N,34633
120,Friday Aug 21,CHC,D,39211
121,Saturday Aug 22,CHC,D,41196
122,Sunday Aug 23,CHC,D,39581
123,Monday Aug 24,CHC,D,36283
130,Monday Aug 31,CHC,N,34017
131,Tuesday Sep 1,CHC,N,33756
132,Wednesday Sep 2,CHC,D,31165
133,Friday Sep 4,CHC,D,36132
134,Saturday Sep 5,CHC,D,40690
135,Sunday Sep 6,CHC,D,41183
147,Friday Sep 18,CHC,D,40846
148,Saturday Sep 19,CHC,D,40994
149,Sunday Sep 20,CHC,D,40962
150,Monday Sep 21,CHC,N,34373
151,Tuesday Sep 22,CHC,N,36270
152,Wednesday Sep 23,CHC,N,37559
153,Friday Sep 25,CHC,D,40432
154,Saturday Sep 26,CHC,D,41150
155,Sunday Sep 27,CHC,N,40617
156,Monday Sep 28,CHC,N,40552
