Gm#,Date,Tm,D/N,Attendance
7,Monday Apr 13,BOS,D,37203
8,Tuesday Apr 14,BOS,N,35258
9,Wednesday Apr 15,BOS,D,33493
10,Friday Apr 17,BOS,N,34341
11,Saturday Apr 18,BOS,D,37655
12,Sunday Apr 19,BOS,D,37761
13,Monday Apr 20,BOS,D,36829
20,Monday Apr 27,BOS,N,34739
21,Tuesday Apr 28,BOS,N,33920
22,Wednesday Apr 29,BOS,N,34220
23,Friday May 1,BOS,N,35444
24,Saturday May 2,BOS,D,36611
25,Sunday May 3,BOS,N,33198
26,Monday May 4,BOS,N,34541
27,Tuesday May 5,BOS,N,33688
28,Wednesday May 6,BOS,N,35060
39,Tuesday May 19,BOS,N,36580
40,Wednesday May 20,BOS,N,35726
41,Thursday May 21,BOS,N,34945
42,Friday May 22,BOS,N,36150
43,Saturday May 23,BOS,N,37735
44,Sunday May 24,BOS,D,37742
52,Tuesday Jun 2,BOS,N,32622
53,Wednesday Jun 3 (1),BOS,D,31704
54,Wednesday Jun 3 (2),BOS,N,33291
55,Thursday Jun 4,BOS,D,33615
56,Friday Jun 5,BOS,N,34910
57,Saturday Jun 6,BOS,D,36713
58,Sunday Jun 7,BOS,D,36913
62,Friday Jun 12,BOS,N,37575
63,Saturday Jun 13,BOS,D,37158
64,Sunday Jun 14,BOS,D,36296
65,Monday Jun 15,BOS,N,34439
66,Tuesday Jun 16,BOS,D,35662
72,Tuesday Jun 23,BOS,N,36508
73,Wednesday Jun 24,BOS,N,37762
74,Thursday Jun 25,BOS,D,37706
82,Friday Jul 3,BOS,N,37837
83,Saturday Jul 4,BOS,D,36703
84,Sunday Jul 5,BOS,D,36481
85,Tuesday Jul 7,BOS,N,36863
86,Wednesday Jul 8,BOS,N,37009
87,Friday Jul 10,BOS,N,37984
88,Saturday Jul 11,BOS,N,38047
89,Sunday Jul 12,BOS,D,37283
97,Friday Jul 24,BOS,N,37650
98,Saturday Jul 25,BOS,D,37256
99,Sunday Jul 26,BOS,N,35582
100,Monday Jul 27,BOS,N,37401
101,Tuesday Jul 28,BOS,N,38063
102,Wednesday Jul 29,BOS,N,37104
103,Thursday Jul 30,BOS,N,36215
104,Friday Jul 31,BOS,N,36715
105,Saturday Aug 1,BOS,D,35944
106,Sunday Aug 2,BOS,D,35699
115,Friday Aug 14,BOS,N,37678
116,Saturday Aug 15,BOS,D,36027
117,Sunday Aug 16,BOS,D,35260
118,Monday Aug 17,BOS,N,32701
119,Tuesday Aug 18,BOS,N,31907
120,Wednesday Aug 19,BOS,N,32465
121,Thursday Aug 20,BOS,N,35458
122,Friday Aug 21,BOS,N,35203
123,Saturday Aug 22,BOS,N,37135
124,Sunday Aug 23,BOS,D,36151
131,Monday Aug 31,BOS,N,36148
132,Tuesday Sep 1,BOS,N,35077
133,Wednesday Sep 2,BOS,D,34416
134,Friday Sep 4,BOS,N,33674
135,Saturday Sep 5,BOS,D,36534
136,Sunday Sep 6,BOS,D,34708
137,Monday Sep 7,BOS,D,33659
138,Tuesday Sep 8,BOS,N,33432
139,Wednesday Sep 9,BOS,N,34464
149,Monday Sep 21,BOS,N,33673
150,Tuesday Sep 22,BOS,N,33673
151,Wednesday Sep 23,BOS,N,32753
152,Thursday Sep 24,BOS,N,34916
153,Friday Sep 25,BOS,N,32411
154,Saturday Sep 26,BOS,D,36316
155,Sunday Sep 27,BOS,D,33306
1,Sunday Apr 5,CHC,N,35055
2,Wednesday Apr 8,CHC,D,26814
6,Monday Apr 13,CHC,N,26390
7,Tuesday Apr 14,CHC,N,27525
8,Wednesday Apr 15,CHC,N,29205
9,Friday Apr 17,CHC,D,32138
10,Saturday Apr 18,CHC,D,33958
11,Sunday Apr 19,CHC,D,29113
18,Monday Apr 27,CHC,N,29159
19,Tuesday Apr 28,CHC,N,29915
20,Wednesday Apr 29,CHC,N,30634
21,Friday May 1,CHC,D,31128
22,Saturday May 2,CHC,D,34878
23,Sunday May 3,CHC,D,33398
31,Monday May 11,CHC,N,32980
32,Tuesday May 12,CHC,N,31542
33,Wednesday May 13,CHC,N,33709
34,Thursday May 14,CHC,D,31496
35,Friday May 15,CHC,D,33617
36,Saturday May 16,CHC,D,38883
37,Sunday May 17,CHC,D,36289
44,Monday May 25,CHC,D,38463
45,Tuesday May 26,CHC,N,30440
46,Wednesday May 27,CHC,N,34215
47,Friday May 29,CHC,D,34273
48,Sunday May 31,CHC,D,37766
58,Thursday Jun 11,CHC,N,35031
59,Friday Jun 12,CHC,D,40016
60,Saturday Jun 13,CHC,N,40693
61,Sunday Jun 14,CHC,N,33201
62,Tuesday Jun 16,CHC,N,35914
68,Monday Jun 22,CHC,N,35147
69,Tuesday Jun 23,CHC,N,36799
70,Wednesday Jun 24,CHC,N,36653
71,Thursday Jun 25,CHC,D,41498
78,Friday Jul 3,CHC,D,41212
79,Saturday Jul 4,CHC,N,37898
80,Sunday Jul 5,CHC,D,37764
81,Monday Jul 6,CHC,N,37609
82,Tuesday Jul 7 (1),CHC,D,34368
83,Tuesday Jul 7 (2),CHC,N,35703
84,Wednesday Jul 8,CHC,N,37993
85,Friday Jul 10,CHC,D,41580
86,Saturday Jul 11,CHC,D,41596
87,Sunday Jul 12,CHC,D,41688
95,Friday Jul 24,CHC,D,41230
96,Saturday Jul 25,CHC,D,41683
97,Sunday Jul 26,CHC,D,41123
98,Monday Jul 27,CHC,N,35070
99,Tuesday Jul 28,CHC,N,36747
100,Wednesday Jul 29,CHC,D,38874
107,Thursday Aug 6,CHC,N,41242
108,Friday Aug 7,CHC,D,41311
109,Saturday Aug 8,CHC,D,41305
110,Sunday Aug 9,CHC,D,39939
111,Tuesday Aug 11,CHC,N,37109
112,Wednesday Aug 12,CHC,N,36438
113,Thursday Aug 13,CHC,D,40799
117,Tuesday Aug 18,CHC,N,39684
118,Wednesday Aug 19,CHC,N,40310
119,Thursday Aug 20,CHC,N,34633
120,Friday Aug 21,CHC,D,39211
121,Saturday Aug 22,CHC,D,41196
122,Sunday Aug 23,CHC,D,39581
123,Monday Aug 24,CHC,D,36283
130,Monday Aug 31,CHC,N,34017
131,Tuesday Sep 1,CHC,N,33756
132,Wednesday Sep 2,CHC,D,31165
133,Friday Sep 4,CHC,D,36132
134,Saturday Sep 5,CHC,D,40690
135,Sunday Sep 6,CHC,D,41183
147,Friday Sep 18,CHC,D,40846
148,Saturday Sep 19,CHC,D,40994
149,Sunday Sep 20,CHC,D,40962
150,Monday Sep 21,CHC,N,34373
151,Tuesday Sep 22,CHC,N,36270
152,Wednesday Sep 23,CHC,N,37559
153,Friday Sep 25,CHC,D,40432
154,Saturday Sep 26,CHC,D,41150
155,Sunday Sep 27,CHC,N,40617
156,Monday Sep 28,CHC,N,40552
