Gm#,Date,Tm,D/N,Attendance
121,Friday Aug 15,BOS,N,37016
122,Saturday Aug 16,BOS,N,37652
123,Sunday Aug 17,BOS,D,36717
124,Monday Aug 18,BOS,N,35170
125,Tuesday Aug 19,BOS,N,35471
126,Wednesday Aug 20,BOS,N,35136
127,Thursday Aug 21,BOS,N,36160
128,Friday Aug 22,BOS,N,36433
129,Saturday Aug 23,BOS,D,36905
130,Sunday Aug 24,BOS,D,37022
141,Friday Sep 5,BOS,N,35667
142,Saturday Sep 6,BOS,N,36677
143,Sunday Sep 7,BOS,D,36261
144,Monday Sep 8,BOS,N,35894
145,Tuesday Sep 9,BOS,N,37008
146,Wednesday Sep 10,BOS,D,35374
157,Tuesday Sep 23,BOS,N,35566
158,Wednesday Sep 24,BOS,N,35741
159,Thursday Sep 25,BOS,N,36590
160,Friday Sep 26,BOS,N,37605
161,Saturday Sep 27,BOS,D,37147
162,Sunday Sep 28,BOS,D,36879
4,Friday Apr 4,CHC,D,38283
5,Saturday Apr 5,CHC,D,30651
6,Sunday Apr 6,CHC,D,26712
7,Tuesday Apr 8,CHC,N,26177
8,Wednesday Apr 9,CHC,N,28247
9,Thursday Apr 10,CHC,D,25502
15,Friday Apr 18,CHC,D,28699
16,Saturday Apr 19,CHC,D,32966
17,Sunday Apr 20,CHC,D,27927
18,Monday Apr 21,CHC,N,32439
19,Tuesday Apr 22,CHC,N,35381
20,Wednesday Apr 23,CHC,D,32323
21,Thursday Apr 24,CHC,D,33085
27,Friday May 2,CHC,D,28160
28,Saturday May 3,CHC,D,37874
29,Sunday May 4,CHC,N,30023
30,Monday May 5,CHC,N,33146
31,Tuesday May 6,CHC,N,34305
40,Friday May 16,CHC,D,35771
41,Saturday May 17,CHC,D,36671
42,Sunday May 18,CHC,D,37631
43,Tuesday May 20,CHC,N,38753
44,Wednesday May 21,CHC,D,34808
55,Tuesday Jun 3,CHC,N,34697
56,Wednesday Jun 4,CHC,N,28185
57,Thursday Jun 5,CHC,N,28833
58,Friday Jun 6,CHC,D,28495
59,Saturday Jun 7,CHC,D,33786
60,Sunday Jun 8,CHC,D,33134
71,Friday Jun 20,CHC,D,36423
72,Saturday Jun 21,CHC,N,36563
73,Sunday Jun 22,CHC,D,33573
74,Monday Jun 23,CHC,N,27747
75,Tuesday Jun 24,CHC,N,28226
76,Wednesday Jun 25,CHC,N,28207
77,Thursday Jun 26,CHC,N,28867
78,Friday Jun 27,CHC,D,30683
79,Saturday Jun 28 (1),CHC,D,35770
80,Saturday Jun 28 (2),CHC,N,32267
92,Friday Jul 11,CHC,D,39544
93,Saturday Jul 12,CHC,D,36806
94,Sunday Jul 13,CHC,D,36363
98,Tuesday Jul 22,CHC,N,32730
99,Wednesday Jul 23,CHC,N,30718
100,Thursday Jul 24,CHC,N,31321
101,Friday Jul 25,CHC,D,41534
102,Saturday Jul 26,CHC,D,41927
103,Sunday Jul 27,CHC,D,35256
104,Monday Jul 28,CHC,N,29702
105,Tuesday Jul 29,CHC,N,28590
106,Wednesday Jul 30,CHC,N,29491
107,Thursday Jul 31,CHC,D,35729
114,Friday Aug 8,CHC,D,34937
115,Saturday Aug 9,CHC,D,36739
116,Sunday Aug 10,CHC,D,33039
117,Monday Aug 11,CHC,N,28927
118,Tuesday Aug 12,CHC,N,28819
119,Wednesday Aug 13,CHC,N,31191
120,Thursday Aug 14,CHC,D,38157
125,Tuesday Aug 19,CHC,N,31064
126,Wednesday Aug 20,CHC,N,30633
127,Thursday Aug 21,CHC,N,30541
128,Friday Aug 22,CHC,D,33761
129,Saturday Aug 23,CHC,D,37156
130,Sunday Aug 24,CHC,D,32774
138,Monday Sep 1,CHC,D,32054
139,Tuesday Sep 2,CHC,N,28434
140,Wednesday Sep 3,CHC,N,31251
141,Friday Sep 5,CHC,D,35541
142,Saturday Sep 6,CHC,D,36867
143,Sunday Sep 7,CHC,D,33894
150,Monday Sep 15,CHC,N,33144
151,Tuesday Sep 16,CHC,N,33812
152,Wednesday Sep 17,CHC,N,33500
153,Thursday Sep 18,CHC,N,33649
154,Friday Sep 19,CHC,D,33322
155,Saturday Sep 20,CHC,D,34334
156,Sunday Sep 21,CHC,D,31933
157,Monday Sep 22,CHC,N,28893
158,Tuesday Sep 23,CHC,N,29754
159,Wednesday Sep 24,CHC,N,33292
