Gm#,Date,Tm,D/N,Attendance
4,Friday Apr 4,BOS,D,36728
5,Saturday Apr 5,BOS,N,35729
6,Sunday Apr 6,BOS,D,35958
7,Monday Apr 7,BOS,N,35842
8,Tuesday Apr 8,BOS,N,34142
9,Wednesday Apr 9,BOS,D,33585
17,Friday Apr 18,BOS,N,36408
18,Saturday Apr 19,BOS,D,37689
19,Sunday Apr 20,BOS,N,33947
20,Monday Apr 21,BOS,D,37513
21,Tuesday Apr 22,BOS,N,37041
22,Wednesday Apr 23,BOS,N,37015
23,Thursday Apr 24,BOS,N,37356
27,Tuesday Apr 29,BOS,N,34794
28,Thursday May 1 (1),BOS,D,35621
29,Thursday May 1 (2),BOS,N,33465
30,Friday May 2,BOS,N,34850
31,Saturday May 3,BOS,D,37042
32,Sunday May 4,BOS,D,35649
33,Tuesday May 6,BOS,N,36004
34,Wednesday May 7,BOS,N,37072
41,Friday May 16,BOS,N,37225
42,Saturday May 17,BOS,N,37608
43,Sunday May 18,BOS,N,35006
44,Tuesday May 20,BOS,N,37904
45,Wednesday May 21,BOS,N,36116
46,Thursday May 22,BOS,D,36018
52,Wednesday May 28,BOS,N,36189
53,Thursday May 29,BOS,N,36292
54,Friday May 30,BOS,N,35820
55,Saturday May 31,BOS,N,37076
56,Sunday Jun 1,BOS,D,37688
66,Thursday Jun 12,BOS,N,37750
67,Friday Jun 13,BOS,N,35772
68,Saturday Jun 14,BOS,D,37181
69,Sunday Jun 15,BOS,D,37356
70,Monday Jun 16,BOS,N,35693
71,Tuesday Jun 17,BOS,N,36835
72,Wednesday Jun 18,BOS,D,36489
83,Monday Jun 30,BOS,N,37814
84,Tuesday Jul 1,BOS,N,36748
85,Wednesday Jul 2,BOS,N,37055
86,Saturday Jul 5 (1),BOS,D,35714
87,Saturday Jul 5 (2),BOS,N,36468
88,Sunday Jul 6,BOS,D,35811
89,Monday Jul 7,BOS,N,35114
90,Tuesday Jul 8,BOS,N,35345
91,Wednesday Jul 9,BOS,N,36218
92,Thursday Jul 10,BOS,D,37547
96,Friday Jul 18,BOS,N,37743
97,Saturday Jul 19,BOS,N,37878
98,Sunday Jul 20,BOS,D,37439
106,Monday Jul 28,BOS,N,37974
107,Tuesday Jul 29,BOS,N,38275
108,Wednesday Jul 30,BOS,N,38203
109,Friday Aug 1,BOS,N,37782
110,Saturday Aug 2,BOS,D,37302
111,Sunday Aug 3,BOS,N,38035
120,Thursday Aug 14,BOS,N,38065
