GameNo,Tm,D/N,Attendance,API DATE Format
48,CHC,D,41153,2009-05-30
49,CHC,N,40091,2009-05-31
58,CHC,D,41509,2009-06-12
59,CHC,D,40899,2009-06-13
60,CHC,D,40814,2009-06-14
61,CHC,D,40444,2009-06-17
62,CHC,D,40467,2009-06-18
63,CHC,D,40155,2009-06-19
64,CHC,D,41007,2009-06-20
65,CHC,D,40866,2009-06-21
76,CHC,N,40545,2009-07-02
77,CHC,D,41204,2009-07-03
78,CHC,D,40088,2009-07-04
79,CHC,D,40369,2009-07-05
80,CHC,N,40042,2009-07-06
81,CHC,N,40359,2009-07-07
82,CHC,D,40531,2009-07-08
83,CHC,D,40687,2009-07-10
84,CHC,D,41210,2009-07-11
85,CHC,D,40701,2009-07-12
86,CHC,N,41244,2009-07-12
94,CHC,D,41406,2009-07-24
95,CHC,D,41364,2009-07-25
96,CHC,D,41528,2009-07-26
97,CHC,N,40794,2009-07-27
98,CHC,N,40814,2009-07-28
99,CHC,D,41538,2009-07-29
100,CHC,D,41524,2009-07-30
111,CHC,N,41477,2009-08-11
112,CHC,N,41133,2009-08-12
113,CHC,D,41100,2009-08-13
114,CHC,D,41619,2009-08-14
115,CHC,D,41197,2009-08-15
123,CHC,N,37297,2009-08-25
124,CHC,N,36562,2009-08-26
125,CHC,D,35174,2009-08-27
126,CHC,D,39381,2009-08-28
127,CHC,D,40857,2009-08-29
128,CHC,D,39907,2009-08-30
129,CHC,N,36990,2009-08-31
130,CHC,N,36332,2009-09-01
131,CHC,D,39192,2009-09-02
132,CHC,D,40741,2009-09-03
139,CHC,D,39881,2009-09-11
140,CHC,D,40351,2009-09-12
141,CHC,D,39805,2009-09-13
142,CHC,N,38725,2009-09-14
143,CHC,N,38986,2009-09-15
144,CHC,N,38084,2009-09-16
145,CHC,D,39158,2009-09-17
156,CHC,N,35308,2009-09-29
157,CHC,D,34362,2009-09-30
158,CHC,N,33299,2009-09-30
159,CHC,D,33786,2009-10-02
160,CHC,D,39138,2009-10-03
161,CHC,D,39154,2009-10-04
