GameNo,Tm,D/N,Attendance,API DATE Format
7,BOS,D,37032,2012-04-13
8,BOS,D,38024,2012-04-14
9,BOS,D,38024,2012-04-15
10,BOS,D,38108,2012-04-16
11,BOS,N,38229,2012-04-17
12,BOS,N,37967,2012-04-18
13,BOS,D,36770,2012-04-20
14,BOS,D,37839,2012-04-21
22,BOS,N,37359,2012-04-30
23,BOS,N,37225,2012-05-01
24,BOS,N,37434,2012-05-02
25,BOS,N,37223,2012-05-04
26,BOS,D,37581,2012-05-05
27,BOS,D,37394,2012-05-06
31,BOS,N,37348,2012-05-10
32,BOS,N,37438,2012-05-11
33,BOS,N,38048,2012-05-12
34,BOS,D,37611,2012-05-13
35,BOS,N,37334,2012-05-14
36,BOS,D,37292,2012-05-15
45,BOS,N,37594,2012-05-25
46,BOS,N,38099,2012-05-26
47,BOS,D,37844,2012-05-27
48,BOS,D,37921,2012-05-28
49,BOS,N,37216,2012-05-29
50,BOS,N,37195,2012-05-30
51,BOS,N,37629,2012-05-31
55,BOS,N,37181,2012-06-05
56,BOS,N,37243,2012-06-06
57,BOS,N,37307,2012-06-07
58,BOS,N,37309,2012-06-08
59,BOS,D,37534,2012-06-09
60,BOS,D,37467,2012-06-10
67,BOS,N,37701,2012-06-19
68,BOS,N,37362,2012-06-20
69,BOS,N,37261,2012-06-21
70,BOS,N,37281,2012-06-22
71,BOS,N,37782,2012-06-23
72,BOS,D,37565,2012-06-24
73,BOS,N,37208,2012-06-25
74,BOS,N,37755,2012-06-26
75,BOS,D,37744,2012-06-27
83,BOS,N,38066,2012-07-06
84,BOS,D,38170,2012-07-07
85,BOS,N,37791,2012-07-07
86,BOS,N,38270,2012-07-08
90,BOS,N,38334,2012-07-16
91,BOS,N,37771,2012-07-17
92,BOS,N,37367,2012-07-18
93,BOS,N,38413,2012-07-19
94,BOS,N,38093,2012-07-20
95,BOS,N,38170,2012-07-21
96,BOS,D,37737,2012-07-22
103,BOS,N,37784,2012-07-30
104,BOS,N,37275,2012-07-31
105,BOS,N,37213,2012-08-01
106,BOS,N,37191,2012-08-02
107,BOS,N,37285,2012-08-03
108,BOS,N,37914,2012-08-04
109,BOS,D,37019,2012-08-05
110,BOS,N,37316,2012-08-06
111,BOS,N,38416,2012-08-07
112,BOS,D,37716,2012-08-08
123,BOS,N,37794,2012-08-21
124,BOS,N,37373,2012-08-22
125,BOS,N,37829,2012-08-23
126,BOS,N,37228,2012-08-24
127,BOS,N,37103,2012-08-25
128,BOS,D,37188,2012-08-26
129,BOS,D,37506,2012-08-27
139,BOS,N,37156,2012-09-07
140,BOS,N,37107,2012-09-08
141,BOS,D,37226,2012-09-09
142,BOS,N,37437,2012-09-11
143,BOS,N,37230,2012-09-12
144,BOS,N,38134,2012-09-13
152,BOS,N,37731,2012-09-21
153,BOS,D,37570,2012-09-22
154,BOS,D,37310,2012-09-23
155,BOS,N,37045,2012-09-25
156,BOS,N,37247,2012-09-26
1,CHC,D,41176,2012-04-05
2,CHC,D,40102,2012-04-07
3,CHC,D,31973,2012-04-08
4,CHC,N,38136,2012-04-09
5,CHC,N,37265,2012-04-10
6,CHC,D,34044,2012-04-11
7,CHC,D,36311,2012-04-12
14,CHC,D,37782,2012-04-20
15,CHC,D,38405,2012-04-21
16,CHC,D,35801,2012-04-22
17,CHC,N,37794,2012-04-23
18,CHC,N,38894,2012-04-24
19,CHC,D,34894,2012-04-25
26,CHC,D,37332,2012-05-04
27,CHC,D,39874,2012-05-05
28,CHC,D,38125,2012-05-06
29,CHC,N,36307,2012-05-07
30,CHC,N,38523,2012-05-08
31,CHC,D,31904,2012-05-09
37,CHC,N,38678,2012-05-16
38,CHC,N,37986,2012-05-17
39,CHC,D,34937,2012-05-18
40,CHC,N,40228,2012-05-19
41,CHC,D,38374,2012-05-20
48,CHC,D,38452,2012-05-28
49,CHC,D,35219,2012-05-29
50,CHC,D,38516,2012-05-30
61,CHC,N,41164,2012-06-12
62,CHC,N,41326,2012-06-13
63,CHC,D,42292,2012-06-14
64,CHC,D,40073,2012-06-15
65,CHC,N,40766,2012-06-16
66,CHC,N,38531,2012-06-17
73,CHC,N,34092,2012-06-25
74,CHC,N,34064,2012-06-26
75,CHC,D,35837,2012-06-27
76,CHC,D,32891,2012-06-29
77,CHC,D,37906,2012-06-30
78,CHC,D,37389,2012-07-01
86,CHC,N,36878,2012-07-13
87,CHC,D,38068,2012-07-14
88,CHC,D,36659,2012-07-15
89,CHC,N,34397,2012-07-17
90,CHC,N,34934,2012-07-18
91,CHC,D,32741,2012-07-19
98,CHC,D,40778,2012-07-27
99,CHC,D,41276,2012-07-28
100,CHC,D,39534,2012-07-29
101,CHC,N,33337,2012-07-30
102,CHC,N,33158,2012-07-31
103,CHC,D,33014,2012-08-01
110,CHC,N,33397,2012-08-09
111,CHC,D,36891,2012-08-10
112,CHC,D,40602,2012-08-11
113,CHC,D,35461,2012-08-12
114,CHC,N,31452,2012-08-13
115,CHC,N,33376,2012-08-14
116,CHC,D,33714,2012-08-15
124,CHC,D,31255,2012-08-24
125,CHC,D,35296,2012-08-25
126,CHC,D,32346,2012-08-26
127,CHC,N,32541,2012-08-27
128,CHC,N,30017,2012-08-28
129,CHC,N,33271,2012-08-29
130,CHC,D,28859,2012-08-30
131,CHC,D,32476,2012-08-31
132,CHC,D,32477,2012-09-01
133,CHC,D,39760,2012-09-02
144,CHC,D,26946,2012-09-14
145,CHC,D,32774,2012-09-15
146,CHC,D,33559,2012-09-16
147,CHC,N,33017,2012-09-17
148,CHC,N,32547,2012-09-18
149,CHC,N,31001,2012-09-19
150,CHC,D,25891,2012-09-20
151,CHC,D,29100,2012-09-21
152,CHC,D,40298,2012-09-22
153,CHC,D,33354,2012-09-23
160,CHC,N,32167,2012-10-01
161,CHC,N,33168,2012-10-02
162,CHC,D,27606,2012-10-03
