,Team,D/N,Attendance,Date
85,BOS,D,38170,2012-07-07
86,BOS,D,37737,2012-07-22
87,BOS,D,37019,2012-08-05
88,BOS,D,37716,2012-08-08
89,BOS,D,37188,2012-08-26
90,BOS,D,37506,2012-08-27
91,BOS,D,37226,2012-09-09
92,BOS,D,37570,2012-09-22
93,BOS,D,37310,2012-09-23
94,BOS,D,37008,2013-04-08
95,BOS,D,33039,2013-04-13
96,BOS,D,35198,2013-04-14
97,BOS,D,37449,2013-04-15
98,BOS,D,35152,2013-04-20
99,BOS,D,31483,2013-04-21
100,BOS,D,29274,2013-04-24
101,BOS,D,36527,2013-04-28
102,BOS,D,36543,2013-05-11
103,BOS,D,35532,2013-05-12
104,BOS,D,36504,2013-05-25
105,BOS,D,37046,2013-05-26
106,BOS,D,34499,2013-06-08
107,BOS,D,37054,2013-06-09
108,BOS,D,33430,2013-06-18
109,BOS,D,34632,2013-06-26
110,BOS,D,37437,2013-06-29
111,BOS,D,37425,2013-06-30
112,BOS,D,37607,2013-07-04
113,BOS,D,37601,2013-07-20
114,BOS,D,37611,2013-08-04
115,BOS,D,37517,2013-08-17
116,BOS,D,37053,2013-09-01
117,BOS,D,36188,2013-09-02
118,BOS,D,37510,2013-09-14
119,BOS,D,37020,2013-09-22
120,BOS,D,36728,2014-04-04
121,BOS,D,35958,2014-04-06
122,BOS,D,33585,2014-04-09
123,BOS,D,37689,2014-04-19
124,BOS,D,37513,2014-04-21
125,BOS,D,35621,2014-05-01
126,BOS,D,37042,2014-05-03
127,BOS,D,35649,2014-05-04
128,BOS,D,36018,2014-05-22
129,BOS,D,37688,2014-06-01
130,BOS,D,37181,2014-06-14
131,BOS,D,37356,2014-06-15
132,BOS,D,36489,2014-06-18
133,BOS,D,35714,2014-07-05
134,BOS,D,35811,2014-07-06
135,BOS,D,37547,2014-07-10
136,BOS,D,37439,2014-07-20
137,BOS,D,37302,2014-08-02
138,BOS,D,36717,2014-08-17
139,BOS,D,36905,2014-08-23
140,BOS,D,37022,2014-08-24
141,BOS,D,36261,2014-09-07
142,BOS,D,35374,2014-09-10
143,BOS,D,37147,2014-09-27
144,BOS,D,36879,2014-09-28
145,BOS,D,37203,2015-04-13
146,BOS,D,33493,2015-04-15
147,BOS,D,37655,2015-04-18
148,BOS,D,37761,2015-04-19
149,BOS,D,36829,2015-04-20
150,BOS,D,36611,2015-05-02
151,BOS,D,37742,2015-05-24
152,BOS,D,31704,2015-06-03
153,BOS,D,33615,2015-06-04
154,BOS,D,36713,2015-06-06
155,BOS,D,36913,2015-06-07
156,BOS,D,37158,2015-06-13
157,BOS,D,36296,2015-06-14
158,BOS,D,35662,2015-06-16
159,BOS,D,37706,2015-06-25
160,BOS,D,36703,2015-07-04
161,BOS,D,36481,2015-07-05
162,BOS,D,37283,2015-07-12
163,BOS,D,37256,2015-07-25
164,BOS,D,35944,2015-08-01
165,BOS,D,35699,2015-08-02
166,BOS,D,36027,2015-08-15
167,BOS,D,35260,2015-08-16
168,BOS,D,36151,2015-08-23
169,BOS,D,34416,2015-09-02
170,BOS,D,36534,2015-09-05
171,BOS,D,34708,2015-09-06
172,BOS,D,33659,2015-09-07
173,BOS,D,36316,2015-09-26
174,BOS,D,33306,2015-09-27
175,BOS,D,37160,2016-04-11
176,BOS,D,36267,2016-04-16
177,BOS,D,37217,2016-04-17
178,BOS,D,37168,2016-04-18
179,BOS,D,37954,2016-04-21
180,BOS,D,37430,2016-05-14
181,BOS,D,35736,2016-05-15
182,BOS,D,37254,2016-05-21
183,BOS,D,36021,2016-05-22
184,BOS,D,37762,2016-06-04
185,BOS,D,35823,2016-06-05
186,BOS,D,37195,2016-06-18
187,BOS,D,37211,2016-06-19
188,BOS,D,37790,2016-06-23
189,BOS,D,36801,2016-07-03
190,BOS,D,36253,2016-07-04
191,BOS,D,36900,2016-07-09
192,BOS,D,36669,2016-07-10
193,BOS,D,36806,2016-07-24
194,BOS,D,37842,2016-07-27
195,BOS,D,36842,2016-08-14
196,BOS,D,36786,2016-08-31
197,BOS,D,37267,2016-09-17
198,BOS,D,36787,2016-10-02
199,BOS,D,36594,2017-04-03
200,BOS,D,32400,2017-04-13
201,BOS,D,36686,2017-04-15
202,BOS,D,36209,2017-04-16
203,BOS,D,37318,2017-04-17
204,BOS,D,36776,2017-04-29
205,BOS,D,35447,2017-05-13
206,BOS,D,35080,2017-05-14
207,BOS,D,36985,2017-05-27
208,BOS,D,37174,2017-05-28
209,BOS,D,36474,2017-06-25
210,BOS,D,36936,2017-07-15
211,BOS,D,37343,2017-07-16
212,BOS,D,37094,2017-07-20
213,BOS,D,36480,2017-07-30
214,BOS,D,37283,2017-08-06
215,BOS,D,36911,2017-08-20
216,BOS,D,36655,2017-08-26
217,BOS,D,36625,2017-08-27
218,BOS,D,35859,2017-09-10
219,BOS,D,35470,2017-09-14
220,BOS,D,35722,2017-09-30
221,BOS,D,34517,2017-10-01
222,BOS,D,36134,2018-04-05
223,BOS,D,31821,2018-04-07
224,BOS,D,31979,2018-04-08
225,BOS,D,33584,2018-04-14
226,BOS,D,32489,2018-04-15
227,BOS,D,35795,2018-04-28
228,BOS,D,32888,2018-04-29
229,BOS,D,32267,2018-05-02
230,BOS,D,35550,2018-05-20
231,BOS,D,36510,2018-05-26
232,BOS,D,36543,2018-05-27
233,BOS,D,34700,2018-05-28
234,BOS,D,33451,2018-05-30
235,BOS,D,36675,2018-06-09
236,BOS,D,36998,2018-06-10
237,BOS,D,36274,2018-06-24
238,BOS,D,36390,2018-07-14
239,BOS,D,36940,2018-07-15
240,BOS,D,36785,2018-07-29
241,BOS,D,36699,2018-08-04
242,BOS,D,37242,2018-08-19
243,BOS,D,37396,2018-08-23
244,BOS,D,36684,2018-09-08
245,BOS,D,36611,2018-09-15
246,BOS,D,36526,2018-09-16
247,BOS,D,33577,2018-09-26
248,BOS,D,36375,2018-09-29
249,BOS,D,36201,2018-09-30
