Gm#,Tm,D/N,Attendance,API DATE Format
6,BOS,D,37160,2016-04-11
7,BOS,N,31114,2016-04-12
8,BOS,N,31011,2016-04-13
9,BOS,N,31415,2016-04-15
10,BOS,D,36267,2016-04-16
11,BOS,D,37217,2016-04-17
12,BOS,D,37168,2016-04-18
13,BOS,N,32061,2016-04-19
14,BOS,N,31689,2016-04-20
15,BOS,D,37954,2016-04-21
21,BOS,N,33380,2016-04-27
22,BOS,N,32232,2016-04-28
23,BOS,N,37115,2016-04-29
24,BOS,N,37901,2016-04-30
25,BOS,N,34279,2016-05-01
32,BOS,N,35227,2016-05-09
33,BOS,N,32167,2016-05-10
34,BOS,N,33283,2016-05-11
35,BOS,N,34982,2016-05-12
36,BOS,N,33148,2016-05-13
37,BOS,D,37430,2016-05-14
38,BOS,D,35736,2016-05-15
42,BOS,N,37354,2016-05-20
43,BOS,D,37254,2016-05-21
44,BOS,D,36021,2016-05-22
45,BOS,N,36123,2016-05-24
46,BOS,N,36430,2016-05-25
47,BOS,N,36162,2016-05-26
55,BOS,N,37129,2016-06-03
56,BOS,D,37762,2016-06-04
57,BOS,D,35823,2016-06-05
63,BOS,N,38009,2016-06-14
64,BOS,N,36233,2016-06-15
65,BOS,N,36757,2016-06-16
66,BOS,N,35896,2016-06-17
67,BOS,D,37195,2016-06-18
68,BOS,D,37211,2016-06-19
69,BOS,N,36291,2016-06-20
70,BOS,N,36544,2016-06-21
71,BOS,N,37413,2016-06-22
72,BOS,D,37790,2016-06-23
79,BOS,N,37117,2016-07-01
80,BOS,N,36552,2016-07-02
81,BOS,D,36801,2016-07-03
82,BOS,D,36253,2016-07-04
83,BOS,N,35964,2016-07-05
84,BOS,N,37175,2016-07-06
85,BOS,N,37739,2016-07-08
86,BOS,D,36900,2016-07-09
87,BOS,D,36669,2016-07-10
91,BOS,N,38082,2016-07-19
92,BOS,N,38201,2016-07-20
93,BOS,N,37566,2016-07-21
94,BOS,N,37001,2016-07-22
95,BOS,N,37600,2016-07-23
96,BOS,D,36806,2016-07-24
97,BOS,N,37479,2016-07-25
98,BOS,N,38378,2016-07-26
99,BOS,D,37842,2016-07-27
111,BOS,N,38089,2016-08-09
112,BOS,N,37779,2016-08-10
113,BOS,N,38161,2016-08-11
114,BOS,N,37555,2016-08-12
115,BOS,N,37653,2016-08-13
116,BOS,D,36842,2016-08-14
128,BOS,N,38134,2016-08-26
129,BOS,N,37933,2016-08-27
130,BOS,N,37337,2016-08-28
131,BOS,N,36948,2016-08-29
132,BOS,N,37083,2016-08-30
133,BOS,D,36786,2016-08-31
143,BOS,N,37551,2016-09-12
144,BOS,N,38041,2016-09-13
145,BOS,N,37973,2016-09-14
146,BOS,N,37767,2016-09-15
147,BOS,N,37927,2016-09-16
148,BOS,D,37267,2016-09-17
149,BOS,N,37306,2016-09-18
160,BOS,N,37661,2016-09-30
161,BOS,N,37396,2016-10-01
162,BOS,D,36787,2016-10-02
1,CHC,N,35055,2016-04-05
2,CHC,D,26814,2016-04-08
6,CHC,N,26390,2016-04-13
7,CHC,N,27525,2016-04-14
8,CHC,N,29205,2016-04-15
9,CHC,D,32138,2016-04-17
10,CHC,D,33958,2016-04-18
11,CHC,D,29113,2016-04-19
18,CHC,N,29159,2016-04-27
19,CHC,N,29915,2016-04-28
20,CHC,N,30634,2016-04-29
21,CHC,D,31128,2016-05-01
22,CHC,D,34878,2016-05-02
23,CHC,D,33398,2016-05-03
31,CHC,N,32980,2016-05-11
32,CHC,N,31542,2016-05-12
33,CHC,N,33709,2016-05-13
34,CHC,D,31496,2016-05-14
35,CHC,D,33617,2016-05-15
36,CHC,D,38883,2016-05-16
37,CHC,D,36289,2016-05-17
44,CHC,D,38463,2016-05-25
45,CHC,N,30440,2016-05-26
46,CHC,N,34215,2016-05-27
47,CHC,D,34273,2016-05-29
48,CHC,D,37766,2016-05-31
58,CHC,N,35031,2016-06-11
59,CHC,D,40016,2016-06-12
60,CHC,N,40693,2016-06-13
61,CHC,N,33201,2016-06-14
62,CHC,N,35914,2016-06-16
68,CHC,N,35147,2016-06-22
69,CHC,N,36799,2016-06-23
70,CHC,N,36653,2016-06-24
71,CHC,D,41498,2016-06-25
78,CHC,D,41212,2016-07-03
79,CHC,N,37898,2016-07-04
80,CHC,D,37764,2016-07-05
81,CHC,N,37609,2016-07-06
82,CHC,D,34368,2016-07-07
83,CHC,N,35703,2016-07-07
84,CHC,N,37993,2016-07-08
85,CHC,D,41580,2016-07-10
86,CHC,D,41596,2016-07-11
87,CHC,D,41688,2016-07-12
95,CHC,D,41230,2016-07-24
96,CHC,D,41683,2016-07-25
97,CHC,D,41123,2016-07-26
98,CHC,N,35070,2016-07-27
99,CHC,N,36747,2016-07-28
100,CHC,D,38874,2016-07-29
107,CHC,N,41242,2016-08-06
108,CHC,D,41311,2016-08-07
109,CHC,D,41305,2016-08-08
110,CHC,D,39939,2016-08-09
111,CHC,N,37109,2016-08-11
112,CHC,N,36438,2016-08-12
113,CHC,D,40799,2016-08-13
117,CHC,N,39684,2016-08-18
118,CHC,N,40310,2016-08-19
119,CHC,N,34633,2016-08-20
120,CHC,D,39211,2016-08-21
121,CHC,D,41196,2016-08-22
122,CHC,D,39581,2016-08-23
123,CHC,D,36283,2016-08-24
130,CHC,N,34017,2016-08-31
131,CHC,N,33756,2016-09-01
132,CHC,D,31165,2016-09-02
133,CHC,D,36132,2016-09-04
134,CHC,D,40690,2016-09-05
135,CHC,D,41183,2016-09-06
147,CHC,D,40846,2016-09-18
148,CHC,D,40994,2016-09-19
149,CHC,D,40962,2016-09-20
150,CHC,N,34373,2016-09-21
151,CHC,N,36270,2016-09-22
152,CHC,N,37559,2016-09-23
153,CHC,D,40432,2016-09-25
154,CHC,D,41150,2016-09-26
155,CHC,N,40617,2016-09-27
156,CHC,N,40552,2016-09-28
