,Team,D/N,Attendance,Date
176,CHC,D,40073,2012-06-15
177,CHC,D,35837,2012-06-27
178,CHC,D,32891,2012-06-29
179,CHC,D,37906,2012-06-30
180,CHC,D,37389,2012-07-01
181,CHC,D,38068,2012-07-14
182,CHC,D,36659,2012-07-15
183,CHC,D,32741,2012-07-19
184,CHC,D,40778,2012-07-27
185,CHC,D,41276,2012-07-28
186,CHC,D,39534,2012-07-29
187,CHC,D,33014,2012-08-01
188,CHC,D,36891,2012-08-10
189,CHC,D,40602,2012-08-11
190,CHC,D,35461,2012-08-12
191,CHC,D,33714,2012-08-15
192,CHC,D,31255,2012-08-24
193,CHC,D,35296,2012-08-25
194,CHC,D,32346,2012-08-26
195,CHC,D,28859,2012-08-30
196,CHC,D,32476,2012-08-31
197,CHC,D,32477,2012-09-01
198,CHC,D,39760,2012-09-02
199,CHC,D,26946,2012-09-14
200,CHC,D,32774,2012-09-15
201,CHC,D,33559,2012-09-16
202,CHC,D,25891,2012-09-20
203,CHC,D,29100,2012-09-21
204,CHC,D,40298,2012-09-22
205,CHC,D,33354,2012-09-23
206,CHC,D,27606,2012-10-03
207,CHC,D,41176,2013-04-05
208,CHC,D,40102,2013-04-07
209,CHC,D,31973,2013-04-08
210,CHC,D,34044,2013-04-11
211,CHC,D,36311,2013-04-12
212,CHC,D,37782,2013-04-20
213,CHC,D,38405,2013-04-21
214,CHC,D,35801,2013-04-22
215,CHC,D,34894,2013-04-25
216,CHC,D,37332,2013-05-04
217,CHC,D,39874,2013-05-05
218,CHC,D,38125,2013-05-06
219,CHC,D,31904,2013-05-09
220,CHC,D,34937,2013-05-18
221,CHC,D,38374,2013-05-20
222,CHC,D,38452,2013-05-28
223,CHC,D,35219,2013-05-29
224,CHC,D,38516,2013-05-30
225,CHC,D,42292,2013-06-14
226,CHC,D,40073,2013-06-15
227,CHC,D,35837,2013-06-27
228,CHC,D,32891,2013-06-29
229,CHC,D,37906,2013-06-30
230,CHC,D,37389,2013-07-01
231,CHC,D,38068,2013-07-14
232,CHC,D,36659,2013-07-15
233,CHC,D,32741,2013-07-19
234,CHC,D,40778,2013-07-27
235,CHC,D,41276,2013-07-28
236,CHC,D,39534,2013-07-29
237,CHC,D,33014,2013-08-01
238,CHC,D,36891,2013-08-10
239,CHC,D,40602,2013-08-11
240,CHC,D,35461,2013-08-12
241,CHC,D,33714,2013-08-15
242,CHC,D,31255,2013-08-24
243,CHC,D,35296,2013-08-25
244,CHC,D,32346,2013-08-26
245,CHC,D,28859,2013-08-30
246,CHC,D,32476,2013-08-31
247,CHC,D,32477,2013-09-01
248,CHC,D,39760,2013-09-02
249,CHC,D,26946,2013-09-14
250,CHC,D,32774,2013-09-15
251,CHC,D,33559,2013-09-16
252,CHC,D,25891,2013-09-20
253,CHC,D,29100,2013-09-21
254,CHC,D,40298,2013-09-22
255,CHC,D,33354,2013-09-23
256,CHC,D,27606,2013-10-03
257,CHC,D,38283,2014-04-04
258,CHC,D,30651,2014-04-05
259,CHC,D,26712,2014-04-06
260,CHC,D,25502,2014-04-10
261,CHC,D,28699,2014-04-18
262,CHC,D,32966,2014-04-19
263,CHC,D,27927,2014-04-20
264,CHC,D,32323,2014-04-23
265,CHC,D,33085,2014-04-24
266,CHC,D,28160,2014-05-02
267,CHC,D,37874,2014-05-03
268,CHC,D,35771,2014-05-16
269,CHC,D,36671,2014-05-17
270,CHC,D,37631,2014-05-18
271,CHC,D,34808,2014-05-21
272,CHC,D,28495,2014-06-06
273,CHC,D,33786,2014-06-07
274,CHC,D,33134,2014-06-08
275,CHC,D,36423,2014-06-20
276,CHC,D,33573,2014-06-22
277,CHC,D,30683,2014-06-27
278,CHC,D,35770,2014-06-28
279,CHC,D,39544,2014-07-11
280,CHC,D,36806,2014-07-12
281,CHC,D,36363,2014-07-13
282,CHC,D,41534,2014-07-25
283,CHC,D,41927,2014-07-26
284,CHC,D,35256,2014-07-27
285,CHC,D,35729,2014-07-31
286,CHC,D,34937,2014-08-08
287,CHC,D,36739,2014-08-09
288,CHC,D,33039,2014-08-10
289,CHC,D,38157,2014-08-14
290,CHC,D,33761,2014-08-22
291,CHC,D,37156,2014-08-23
292,CHC,D,32774,2014-08-24
293,CHC,D,32054,2014-09-01
294,CHC,D,35541,2014-09-05
295,CHC,D,36867,2014-09-06
296,CHC,D,33894,2014-09-07
297,CHC,D,33322,2014-09-19
298,CHC,D,34334,2014-09-20
299,CHC,D,31933,2014-09-21
300,CHC,D,26814,2015-04-08
301,CHC,D,32138,2015-04-17
302,CHC,D,33958,2015-04-18
303,CHC,D,29113,2015-04-19
304,CHC,D,31128,2015-05-01
305,CHC,D,34878,2015-05-02
306,CHC,D,33398,2015-05-03
307,CHC,D,31496,2015-05-14
308,CHC,D,33617,2015-05-15
309,CHC,D,38883,2015-05-16
310,CHC,D,36289,2015-05-17
311,CHC,D,38463,2015-05-25
