Gm#,Tm,D/N,Attendance,API DATE Format
51,CHC,D,37464,2011-05-29
52,CHC,D,30450,2011-05-30
53,CHC,N,31178,2011-05-31
54,CHC,D,31340,2011-06-01
65,CHC,N,39070,2011-06-13
66,CHC,N,39151,2011-06-14
67,CHC,N,39821,2011-06-15
68,CHC,D,40024,2011-06-16
69,CHC,D,42219,2011-06-17
70,CHC,D,42236,2011-06-18
71,CHC,N,41828,2011-06-19
78,CHC,D,40854,2011-06-27
79,CHC,D,39157,2011-06-28
80,CHC,N,38360,2011-06-28
81,CHC,N,37221,2011-06-29
82,CHC,D,38158,2011-06-30
83,CHC,D,41486,2011-07-01
84,CHC,D,42165,2011-07-02
85,CHC,D,42311,2011-07-03
93,CHC,N,38145,2011-07-14
94,CHC,D,38391,2011-07-15
95,CHC,D,40709,2011-07-16
96,CHC,D,37634,2011-07-17
97,CHC,N,38183,2011-07-18
98,CHC,N,38857,2011-07-19
99,CHC,D,37864,2011-07-20
100,CHC,D,39855,2011-07-22
101,CHC,D,40486,2011-07-23
102,CHC,D,40406,2011-07-24
113,CHC,D,42245,2011-08-05
114,CHC,D,41978,2011-08-06
115,CHC,D,39619,2011-08-07
116,CHC,N,37109,2011-08-09
117,CHC,N,38010,2011-08-10
118,CHC,D,34733,2011-08-11
125,CHC,D,42343,2011-08-19
126,CHC,D,42374,2011-08-20
127,CHC,N,39420,2011-08-21
128,CHC,N,37061,2011-08-22
129,CHC,N,36639,2011-08-23
130,CHC,N,37098,2011-08-24
131,CHC,D,36136,2011-08-25
138,CHC,D,35153,2011-09-02
139,CHC,D,36628,2011-09-03
140,CHC,D,40469,2011-09-04
141,CHC,D,41341,2011-09-05
142,CHC,N,35297,2011-09-06
143,CHC,N,36797,2011-09-07
151,CHC,D,35318,2011-09-16
152,CHC,D,39377,2011-09-17
153,CHC,D,36250,2011-09-18
154,CHC,N,35076,2011-09-19
155,CHC,N,36571,2011-09-20
156,CHC,D,30965,2011-09-21
