Gm#,Tm,D/N,Attendance,API DATE Format
7,BOS,D,37178,2011-04-08
8,BOS,D,37488,2011-04-09
9,BOS,N,37861,2011-04-10
10,BOS,N,37568,2011-04-11
11,BOS,N,37015,2011-04-12
12,BOS,N,37467,2011-04-15
13,BOS,D,37310,2011-04-16
14,BOS,D,37802,2011-04-17
15,BOS,D,37916,2011-04-18
25,BOS,N,37845,2011-04-29
26,BOS,N,37901,2011-04-30
27,BOS,D,37079,2011-05-01
28,BOS,N,37017,2011-05-02
29,BOS,N,37043,2011-05-03
30,BOS,N,37037,2011-05-04
31,BOS,D,37013,2011-05-05
32,BOS,N,37798,2011-05-06
33,BOS,D,37234,2011-05-07
34,BOS,D,37526,2011-05-08
35,BOS,N,37276,2011-05-09
41,BOS,N,37138,2011-05-16
42,BOS,N,37311,2011-05-18
43,BOS,N,37660,2011-05-19
44,BOS,N,37140,2011-05-20
45,BOS,N,37798,2011-05-21
46,BOS,N,37688,2011-05-22
54,BOS,N,37463,2011-05-30
55,BOS,N,37269,2011-05-31
56,BOS,D,37321,2011-06-01
57,BOS,N,37808,2011-06-03
58,BOS,D,37485,2011-06-04
59,BOS,D,37796,2011-06-05
69,BOS,N,37833,2011-06-17
70,BOS,N,38175,2011-06-18
71,BOS,D,37903,2011-06-19
72,BOS,N,38020,2011-06-20
73,BOS,N,38422,2011-06-21
74,BOS,D,37419,2011-06-22
84,BOS,D,38072,2011-07-04
85,BOS,N,37745,2011-07-05
86,BOS,N,37404,2011-07-06
87,BOS,N,37981,2011-07-07
88,BOS,N,37729,2011-07-08
89,BOS,N,38205,2011-07-09
90,BOS,D,37688,2011-07-10
97,BOS,N,38048,2011-07-22
98,BOS,N,38115,2011-07-23
99,BOS,D,37650,2011-07-24
100,BOS,N,37727,2011-07-25
101,BOS,N,37460,2011-07-26
102,BOS,N,38329,2011-07-27
103,BOS,D,37822,2011-07-28
107,BOS,N,37943,2011-08-01
108,BOS,N,38101,2011-08-02
109,BOS,N,38172,2011-08-03
110,BOS,N,38477,2011-08-04
111,BOS,N,38006,2011-08-05
112,BOS,D,37416,2011-08-06
113,BOS,N,38189,2011-08-07
120,BOS,D,38525,2011-08-16
121,BOS,N,38278,2011-08-16
122,BOS,D,37747,2011-08-17
131,BOS,N,38239,2011-08-26
132,BOS,D,37314,2011-08-27
133,BOS,N,37039,2011-08-27
134,BOS,N,37773,2011-08-30
135,BOS,N,38021,2011-08-31
136,BOS,N,38074,2011-09-01
137,BOS,N,38083,2011-09-02
138,BOS,D,37806,2011-09-03
139,BOS,D,37744,2011-09-04
147,BOS,N,38020,2011-09-13
148,BOS,D,37087,2011-09-14
149,BOS,N,38071,2011-09-15
150,BOS,N,38019,2011-09-16
151,BOS,D,37682,2011-09-17
152,BOS,D,37613,2011-09-18
153,BOS,D,37885,2011-09-19
154,BOS,N,37261,2011-09-19
155,BOS,N,37414,2011-09-20
156,BOS,N,38004,2011-09-21
1,CHC,D,41358,2011-04-01
2,CHC,D,35782,2011-04-02
3,CHC,D,30857,2011-04-03
4,CHC,D,26292,2011-04-04
5,CHC,D,27039,2011-04-05
6,CHC,D,32272,2011-04-06
16,CHC,N,36597,2011-04-18
17,CHC,D,35544,2011-04-20
18,CHC,N,35095,2011-04-20
19,CHC,D,36595,2011-04-22
20,CHC,D,41161,2011-04-23
21,CHC,D,32943,2011-04-24
22,CHC,N,37417,2011-04-25
23,CHC,N,38261,2011-04-26
31,CHC,D,35471,2011-05-06
32,CHC,D,37666,2011-05-07
33,CHC,D,31931,2011-05-08
34,CHC,N,34249,2011-05-10
35,CHC,N,34439,2011-05-11
36,CHC,D,32559,2011-05-12
37,CHC,D,37433,2011-05-13
38,CHC,N,39706,2011-05-14
46,CHC,N,35707,2011-05-24
47,CHC,N,36666,2011-05-25
48,CHC,D,33378,2011-05-26
49,CHC,D,34105,2011-05-27
50,CHC,D,38413,2011-05-28
