GameNo,Tm,D/N,Attendance,API DATE Format
1,BOS,N,37440,2010-04-04
2,BOS,N,38000,2010-04-06
3,BOS,N,38238,2010-04-07
10,BOS,N,37084,2010-04-16
11,BOS,N,37022,2010-04-17
12,BOS,D,37143,2010-04-18
13,BOS,D,37609,2010-04-19
14,BOS,N,37614,2010-04-20
15,BOS,N,37518,2010-04-21
16,BOS,N,37417,2010-04-22
17,BOS,N,37367,2010-04-23
18,BOS,N,38017,2010-04-24
19,BOS,D,37102,2010-04-25
26,BOS,N,37404,2010-05-03
27,BOS,N,37411,2010-05-04
28,BOS,N,37601,2010-05-05
29,BOS,N,37639,2010-05-06
30,BOS,N,37898,2010-05-07
31,BOS,D,37138,2010-05-08
32,BOS,N,37618,2010-05-09
33,BOS,N,37332,2010-05-10
34,BOS,N,37609,2010-05-11
35,BOS,D,37198,2010-05-12
41,BOS,N,37426,2010-05-19
42,BOS,N,38144,2010-05-20
49,BOS,N,37940,2010-05-27
50,BOS,N,37945,2010-05-28
51,BOS,N,37956,2010-05-29
52,BOS,D,37581,2010-05-30
53,BOS,N,37337,2010-06-01
54,BOS,N,37783,2010-06-02
55,BOS,D,37386,2010-06-03
63,BOS,N,38021,2010-06-11
64,BOS,D,37061,2010-06-12
65,BOS,D,37230,2010-06-13
66,BOS,N,37459,2010-06-15
67,BOS,N,37452,2010-06-16
68,BOS,N,37544,2010-06-17
69,BOS,N,37723,2010-06-18
70,BOS,D,37454,2010-06-19
71,BOS,N,37430,2010-06-20
78,BOS,N,38013,2010-06-29
79,BOS,N,38055,2010-06-30
80,BOS,N,38067,2010-07-02
81,BOS,N,38106,2010-07-03
82,BOS,D,37742,2010-07-04
89,BOS,N,38062,2010-07-15
90,BOS,N,37669,2010-07-16
91,BOS,N,37744,2010-07-17
92,BOS,D,37431,2010-07-18
103,BOS,N,37832,2010-07-30
104,BOS,D,37498,2010-07-31
105,BOS,D,37479,2010-08-01
106,BOS,N,37931,2010-08-02
107,BOS,N,37714,2010-08-03
108,BOS,N,37902,2010-08-04
109,BOS,N,38102,2010-08-05
120,BOS,N,38304,2010-08-17
121,BOS,N,37779,2010-08-18
122,BOS,N,37641,2010-08-19
123,BOS,N,37726,2010-08-20
124,BOS,N,37614,2010-08-21
125,BOS,D,37506,2010-08-22
126,BOS,N,37133,2010-08-23
127,BOS,D,37183,2010-08-25
128,BOS,N,37451,2010-08-25
135,BOS,D,37411,2010-09-04
136,BOS,N,37858,2010-09-04
137,BOS,D,37570,2010-09-05
138,BOS,N,37546,2010-09-06
139,BOS,N,37290,2010-09-07
140,BOS,N,37757,2010-09-08
147,BOS,N,37679,2010-09-17
148,BOS,N,37863,2010-09-18
149,BOS,D,37234,2010-09-19
150,BOS,N,37560,2010-09-20
151,BOS,N,37464,2010-09-21
152,BOS,N,37729,2010-09-22
160,BOS,D,37467,2010-10-02
161,BOS,N,37589,2010-10-02
162,BOS,D,37453,2010-10-03
7,CHC,D,41306,2010-04-12
8,CHC,D,39565,2010-04-14
9,CHC,D,38026,2010-04-15
10,CHC,D,37291,2010-04-16
11,CHC,D,40471,2010-04-17
12,CHC,D,39506,2010-04-18
20,CHC,N,37850,2010-04-26
21,CHC,N,37440,2010-04-27
22,CHC,D,36660,2010-04-28
23,CHC,D,36850,2010-04-29
24,CHC,D,37800,2010-04-30
25,CHC,D,40368,2010-05-01
26,CHC,D,38144,2010-05-02
33,CHC,N,38266,2010-05-10
34,CHC,N,38007,2010-05-11
35,CHC,D,38637,2010-05-12
36,CHC,D,39082,2010-05-14
37,CHC,D,41336,2010-05-15
38,CHC,D,40636,2010-05-16
39,CHC,N,35760,2010-05-17
40,CHC,N,37029,2010-05-18
46,CHC,N,34749,2010-05-25
47,CHC,N,35828,2010-05-26
48,CHC,D,33868,2010-05-27
49,CHC,D,39536,2010-05-28
50,CHC,D,40601,2010-05-29
51,CHC,D,41353,2010-05-30
61,CHC,D,41129,2010-06-11
62,CHC,D,40397,2010-06-12
63,CHC,N,40456,2010-06-13
64,CHC,N,34390,2010-06-15
65,CHC,N,36244,2010-06-16
66,CHC,D,36942,2010-06-17
67,CHC,D,39729,2010-06-18
68,CHC,D,40008,2010-06-19
69,CHC,D,39850,2010-06-20
76,CHC,N,38512,2010-06-28
77,CHC,N,36914,2010-06-29
78,CHC,D,37391,2010-06-30
79,CHC,D,36880,2010-07-01
80,CHC,D,40361,2010-07-02
81,CHC,D,40677,2010-07-03
82,CHC,D,41079,2010-07-04
90,CHC,N,40879,2010-07-15
91,CHC,D,40622,2010-07-16
92,CHC,D,40924,2010-07-17
93,CHC,N,39333,2010-07-18
94,CHC,N,35514,2010-07-19
95,CHC,N,36401,2010-07-20
96,CHC,D,38533,2010-07-21
97,CHC,D,40687,2010-07-23
98,CHC,D,41009,2010-07-24
99,CHC,N,41406,2010-07-25
106,CHC,N,37731,2010-08-02
107,CHC,N,36183,2010-08-03
108,CHC,D,38425,2010-08-04
109,CHC,D,40696,2010-08-06
110,CHC,D,41227,2010-08-07
111,CHC,D,39016,2010-08-08
119,CHC,N,36814,2010-08-16
120,CHC,N,33664,2010-08-17
121,CHC,D,33267,2010-08-18
122,CHC,D,30687,2010-08-19
123,CHC,D,39345,2010-08-20
124,CHC,D,41099,2010-08-21
125,CHC,D,37518,2010-08-22
132,CHC,N,29538,2010-08-30
133,CHC,N,31369,2010-08-31
134,CHC,D,33555,2010-09-01
135,CHC,D,31424,2010-09-03
136,CHC,D,39473,2010-09-04
137,CHC,D,40788,2010-09-05
138,CHC,D,31647,2010-09-06
139,CHC,N,31596,2010-09-07
140,CHC,N,33623,2010-09-08
150,CHC,N,36364,2010-09-21
151,CHC,N,37285,2010-09-22
152,CHC,N,34481,2010-09-23
153,CHC,D,36553,2010-09-24
154,CHC,D,39316,2010-09-25
155,CHC,D,38057,2010-09-26
