Gm#,Tm,D/N,Attendance,API DATE Format
7,BOS,D,37008,2013-04-08
8,BOS,N,30862,2013-04-10
9,BOS,N,27704,2013-04-11
10,BOS,D,33039,2013-04-13
11,BOS,D,35198,2013-04-14
12,BOS,D,37449,2013-04-15
16,BOS,D,35152,2013-04-20
17,BOS,D,31483,2013-04-21
18,BOS,N,33270,2013-04-21
19,BOS,N,28926,2013-04-22
20,BOS,N,29006,2013-04-23
21,BOS,D,29274,2013-04-24
22,BOS,N,30093,2013-04-25
23,BOS,N,29312,2013-04-26
24,BOS,N,34726,2013-04-27
25,BOS,D,36527,2013-04-28
32,BOS,N,31088,2013-05-06
33,BOS,N,30549,2013-05-07
34,BOS,N,29969,2013-05-08
35,BOS,N,31571,2013-05-09
36,BOS,N,33606,2013-05-10
37,BOS,D,36543,2013-05-11
38,BOS,D,35532,2013-05-12
48,BOS,N,35254,2013-05-23
49,BOS,N,34074,2013-05-24
50,BOS,D,36504,2013-05-25
51,BOS,D,37046,2013-05-26
52,BOS,N,33627,2013-05-27
53,BOS,N,33463,2013-05-28
59,BOS,N,32035,2013-06-04
60,BOS,N,33296,2013-06-05
61,BOS,N,35352,2013-06-06
62,BOS,D,34499,2013-06-08
63,BOS,N,36518,2013-06-08
64,BOS,D,37054,2013-06-09
72,BOS,D,33430,2013-06-18
73,BOS,N,32156,2013-06-18
74,BOS,N,35710,2013-06-19
79,BOS,N,36286,2013-06-25
80,BOS,D,34632,2013-06-26
81,BOS,N,34750,2013-06-27
82,BOS,N,36383,2013-06-28
83,BOS,D,37437,2013-06-29
84,BOS,D,37425,2013-06-30
85,BOS,N,36498,2013-07-02
86,BOS,N,36911,2013-07-03
87,BOS,D,37607,2013-07-04
98,BOS,N,38130,2013-07-19
99,BOS,D,37601,2013-07-20
100,BOS,N,38138,2013-07-21
101,BOS,N,35016,2013-07-22
102,BOS,N,34609,2013-07-23
103,BOS,N,36514,2013-07-24
107,BOS,N,37242,2013-07-29
108,BOS,N,34578,2013-07-30
109,BOS,N,35059,2013-07-31
110,BOS,N,35886,2013-08-01
111,BOS,N,37652,2013-08-02
112,BOS,N,37941,2013-08-03
113,BOS,D,37611,2013-08-04
124,BOS,N,38143,2013-08-16
125,BOS,D,37517,2013-08-17
126,BOS,N,37917,2013-08-18
133,BOS,N,36226,2013-08-27
134,BOS,N,31962,2013-08-28
135,BOS,N,33300,2013-08-29
136,BOS,N,36063,2013-08-30
137,BOS,N,37363,2013-08-31
138,BOS,D,37053,2013-09-01
